1-AMINO-PROPAN-2-OL	(<i>R</i>)-1-aminopropan-2-ol
CPD-13151	4,4'-diapolycopenedioate
CPD-13160	GDP-D-glucosamine
CPD-13161	GDP-<i>N</i>-acetyl-D-glucosamine
CPD-13162	GDP-2-acetamido-2,6-dideoxy-&alpha;-D-<i>xylo</i>-hexos-4-ulose
CPD-13163	GDP-4-amino-4,6-dideoxy-&alpha;-D-<i>N</i>-acetylglucosamine
CPD-13164	GDP-2,4-diacetamido-2,4,6-trideoxy-&alpha;-D-glucopyranose
CPD-13165	2,4-diacetamido-2,4,6-trideoxy-&alpha;-D-mannopyranose
CPD-13166	5,7-diacetamido-3,5,7,9-tetradeoxy-D-<i>glycero</i>-D-<i>galacto</i>-nonulopyranosonate
CPD-13167	CMP-<i>N</i>,<i>N</i>'-diacetyllegionaminate
CPD-13171	15,9'-di-<i>cis</i>-phytofluene
CPD-13182	aminopentol
CPD-13184	(3S,5R,10R,12S,14S,15R,16R)-3,5,10,14,15-pentahydroxy-12,16-dimethylicosan-2-one
CPD-13187	unsaturated gellan tetrasaccharide
CPD-13188	&beta;-D-Glcp-(1&rarr;4)-&alpha;-L-Rhap-(1&rarr;3)-D-Glcp
CPD-13205	cellotetraose
CPD-13227	<i>N,N',N''</i>-triacetylchitotriose
CPD-13228	(<i>E</i>)-2-pentenal
CPD-13229	(<i>E</i>)-2-pentenol
CPD-13262	4,6-CH3(COO-)C-D-Man-&beta;-(1&rarr;4)-GlcA-&beta;-(1&rarr;2)-D-Man-&alpha;-(1&rarr;3)-D-Glc-&beta;-(1&rarr;4)-D-Glc-&alpha;-1-diphospho-<i>ditrans,octacis</i>-undecaprenol
CPD-13290	(1,3)-&beta;-xylobiose
CPD-13291	(1,3)-&beta;-xylotriose
CPD-13292	(1,3)-&beta;-xylotetraose
CPD-13294	<i>p</i>-nitrophenyl-&alpha;-L-arabinofuranoside
CPD-13323	<i>trans</i>-2-octenal
CPD-13324	6-amino-6-deoxyfutalosine
CPD-13339	(2<i>Z</i>,4<i>E</i>)-2-hydroxyhexa-2,4-dienedioate
CPD-13357	(2<i>R</i>)-2,3-dihydroxy-3-methylbutanoate
CPD-13369	13-apo-&beta;-carotenone
CPD-13380	dTDP-2,6-dideoxy-D-glycero-hex-2-enos-4-ulose
CPD-13381	dTDP-4-dehydro-2,6-dideoxy-&alpha;-D-threo-hexopyranose
CPD-13384	dTDP-&alpha;-D-forosamine
CPD-13385	spinosyn A
CPD-13420	(+)-7-<i>epi</i>-12-hydroxyjasmonoyl-L-isoleucine
CPD-13430	3,6-anhydro-&alpha;-L-galactopyranose
CPD-13432	agarotriose
CPD-13434	neoagarotetraose
CPD-13435	neoagarotriose
CPD-13436	neoagarohexaose
CPD-13438	agarohexaose
CPD-13440	&alpha;-L-galactopyranose-6-sulfate-(1,3)-&beta;-D-galactose
CPD-13445	neocarrabiose sulfate
CPD-13446	neocarratetraose 4-<i>O</i>-disulfate
CPD-13447	&iota;-neocarratetraose sulfate
CPD-13448	&iota;-neocarrahexaose sulfate
CPD-13451	neo-&lambda;-carratetraose
CPD-13452	neo-&lambda;-carrahexaose
CPD-13453	neo-&lambda;-carrabiose
CPD-13462	<i>N</i>-acetyl-&alpha;-D-mannosamine
CPD-13469	&alpha;-D-glucosamine 6-phosphate
CPD-13473	3-(4-deoxy-&beta;-D-gluc-4-enuronosyl)-<i>N</i>-acetyl-D-glucosamine
CPD-13483	4-amino-L-phenylalanine
CPD-13489	<i>N</i><sup>1</sup>-(3-aminopropyl)agmatine
CPD-13518	N<sup>&omega;</sup>-hydroxy-L-arginine
CPD-13524	<i>all-trans</i>-retinol
CPD-13530	4-carboxy-2-hydroxy-6-methoxy-6-oxohexa-2,4-dienoate
CPD-13533	(3<i>R</i>)-3-hydroxypentanoyl-CoA
CPD-13534	3-oxopentanoyl-CoA
CPD-13546	3-(methylsulfanyl)propanoyl-CoA
CPD-13547	3-(methylsulfanyl)acryloyl-CoA
CPD-13559	&alpha;-D-mannopyranose
CPD-13575	2-[(2<i>R</i>,5<i>Z</i>)-2-carboxy-4-methylthiazol-5(2<i>H</i>)-ylidene]ethyl phosphate
CPD-13576	2-(2-carboxy-4-methylthiazol-5-yl)ethyl phosphate
CPD-13577	formylaminopyrimidine
CPD-13578	aminomethylpyrimidine
CPD-13584	cyanide
CPD-13616	pentalen-13-ol
CPD-13617	pentalen-13-al
CPD-13618	1-deoxypentalenate
CPD-13619	pentalenolactone
CPD-13620	1-deoxy-11&beta;-hydroxypentalenate
CPD-13621	pentalenolactone D
CPD-13622	pentalenolactone F
CPD-13623	neopentalenolactone D
CPD-13624	neopentalenolactone F
CPD-13625	1-deoxy-11-oxopentalenate
CPD-13632	pentalenolactone E
CPD-13638	neopentalenolactone E
CPD-13679	cholest-dien-3-one
CPD-13680	9&alpha;-hydroxyandrosta-1,4-diene-3,17-dione
CPD-13682	trilostane
CPD-13684	cholest-5-en-3-one
CPD-13689	(25S)-3-oxocholest-4-en-26-oate
CPD-13691	(25S)-3-oxocholest-4-en-26-oyl-CoA
CPD-13692	3-oxocholest-4,24-dien-26-oyl-CoA
CPD-13694	24-hydroxy-3-oxocholest-4-en-26-oyl-CoA
CPD-13696	3-oxochol-4-en-24-oyl-CoA
CPD-13699	3,22-dioxochol-4-en-24-oyl-CoA
CPD-13700	3-oxo-4-pregnene-20-carboxyl-CoA
CPD-13704	androsta-1,4-diene-3,17-dione
CPD-13709	3,4-dihydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione
CPD-13711	3-[(3a<i>S</i>,4<i>S</i>,7a<i>S</i>)-7a-methyl-1,5-dioxo-octahydro-1<i>H</i>-inden-4-yl]propanoate
CPD-13712	(2<i>Z</i>,4<i>Z</i>)-2-hydroxyhexa-2,4-dienoate
CPD-13714	1,1'-dihydroxy-1,1',2,2'-tetrahydrolycopene
CPD-13722	(<i>S</i>)-4-hydroxy-2-oxohexanoate
CPD-13734	ferroheme <i>a</i>
CPD-13739	3-oxo-23,24-bisnorchol-1,4-dien-22-yl-CoA
CPD-13752	17-hydroxy-3-oxo-4-pregnane-20-carboxyl-CoA
CPD-13754	3-[(3a<i>S</i>,4<i>S</i>,7a<i>S</i>)-7a-methyl-1,5-dioxo-octahydro-1<i>H</i>-inden-4-yl]propanoyl-CoA
CPD-13755	5-hydroxy-3-[(3a<i>S</i>,4<i>S</i>,5<i>R</i>,7a<i>S</i>)-7a-methyl-1,5-dioxo-octahydro-1<i>H</i>-inden-4-yl]propanoyl-CoA
CPD-13756	(2<i>E</i>)-3-[(3a<i>S</i>,4<i>S</i>,5<i>R</i>,7a<i>S</i>)-5-hydroxy-7a-methyl-1-oxo-octahydro-1<i>H</i>-inden-4-yl]prop-2-enoyl-CoA
CPD-13767	9(<i>R</i>)-HPOTE
CPD-13768	(9<i>R</i>)-HPODE
CPD-13773	(<i>S</i>)-2-phenyloxirane
CPD-13775	dTDP-3-amino-3,4,6-trideoxy-&alpha;-D-glucopyranose
CPD-13776	dTDP-D-desosamine
CPD-13777	dTDP-3-dehydro-4,6-deoxy-&alpha;-D-glucose
CPD-13781	dTDP-3-amino-3,6-dideoxy-&alpha;-D-glucopyranose
CPD-13783	dTDP-3-amino-3,6-dideoxy-&alpha;-D-galactopyranose
CPD-13784	dTDP-D-ravidosamine
CPD-13804	erythromycin A
CPD-13805	erythromycin B
CPD-13806	erythromycin D
CPD-13820	mycinamicin III
CPD-13821	mycinamicin IV
CPD-13822	mycinamicin II
CPD-13824	mycinamicin V
CPD-13825	L-oleandrosyl-oleandolide
CPD-13826	L-olivosyl-oleandolide
CPD-13827	oleandolide
CPD-13830	10-deoxymethymycin
CPD-13831	10-deoxymethynolide
CPD-13832	methymycin
CPD-13833	neomethymycin
CPD-13834	narbomycin
CPD-13835	pikromycin
CPD-13837	3-&alpha;-mycarosylerythronolide B
CPD-13841	dTDP-3-dehydro-6-deoxy-&alpha;-D-glucopyranose
CPD-13845	dTDP-3-dehydro-6-deoxy-&alpha;-D-galactopyranose
CPD-13846	UDP-<i>N</i>-acetylbacillosamine
CPD-13847	UDP-2-acetamido-2,6-dideoxy-&alpha;-D-<i>xylo</i>-hex-4-ulose
CPD-13850	(13<i>S</i>)-isotuberculosinol
CPD-13851	2-hydroxy-dATP
CPD-13852	2-hydroxy-dAMP
CPD-13853	8-oxo-dGDP
CPD-13927	(<i>Z</i>)-2-methylureidoacrylate peracid
CPD-13930	(<i>Z</i>)-2-methyl-peroxyaminoacrylate
CPD-13931	benzil
CPD-13932	(<i>S</i>)-benzoin
CPD-13940	<i>Co</i>&alpha;-[&alpha;-(5-methoxybenzimidazolyl)]-<i>Co</i>&beta;-adenosylcobamide 5'-phosphate
CPD-13946	8,8a-deoxyoleandolide
CPD-13947	erythronolide B
CPD-13949	glucosyl-oleandomycin
CPD-13951	erythromycin C
CPD-13952	dTDP-3,4-didehydro-2,6-dideoxy-&alpha;-D-glucose
CPD-13954	dTDP-4-dehydro-2,6-dideoxy-&beta;-L-galactose
CPD-13955	mithramycin
CPD-13956	dTDP-&beta;-D-oliose
CPD-13957	dTDP-D-mycarose
CPD-13958	dTDP-4-dehydro-3-<i>C</i>-methyl-2,6-dideoxy-&alpha;-D-glucose
CPD-13962	daunorubicin
CPD-13965	premithracinone
CPD-13967	dTDP-&beta;-L-mycarose
CPD-13970	dTDP-4-dehydro-3-<i>C</i>-methyl-2,6-dideoxy-&alpha;-L-allose
CPD-13972	&epsilon;-rhodomycinone
CPD-13973	doxorubicin
CPD-13982	dTDP-4-dehydro-2,6-dideoxy-&alpha;-L-glucose
CPD-13985	dTDP-4-dehydro-2,6-dideoxy-&alpha;-D-allose
CPD-13987	dTDP-4-dehydro-3-<i>C</i>-methyl-2,6-dideoxy-&beta;-L-galactose
CPD-13992	2,2'-disulfonyl azobenzene
CPD-13993	3-[(4-amino-6-chloro-1,3,5-triazin-2-yl)amino]benzenesulfonate
CPD-13997	&alpha;-maltose 1-phosphate
CPD-14	tetrathionate
CPD-14015	(<i>E</i>)-2-methylgeranyl diphosphate
CPD-14016	2-methylisoborneol
CPD-14017	&beta;-D-mannosyl-(1&rarr;4)-D-glucose
CPD-14021	UDP-<i>N</i>-acetyl-&alpha;-D-glucosamine 3'-phosphate
CPD-14053	(6<i>R</i>)-L-<i>erythro</i>-5,6,7,8-tetrahydrobiopterin
CPD-14069	<i>N</i><sup>1</sup>-citryl-<i>N</i><sup>6</sup>-acetyl-<i>N</i><sup>6</sup>-hydroxy-L-lysine
CPD-14077	6-hydroxy-<i>N</i>-methylmyosmine
CPD-14081	nicotine blue
CPD-14082	nicotine blue leuco form
CPD-14086	(3<i>R</i>)-3-methyl-D-ornithine
CPD-14087	&alpha;-D-glucosyl-(1->3)-L-rhamnose
CPD-14091	<i>N</i>-methylmyosmine
CPD-14092	pseudooxynicotine
CPD-14093	(2<i>R</i>,3<i>R</i>)-3-methylornithinyl-<i>N</i><sup>6</sup>-lysine
CPD-14094	4-oxo-4-(3-pyridyl)-butanoate
CPD-14096	6-hydroxy-3-succinoyl-pyridine
CPD-14097	&epsilon;-(D-ornithyl)-L-lysine
CPD-14100	4-oxo-4-(pyridin-3-yl)butanal
CPD-14101	8-oxo-GDP
CPD-14102	furfuryl alcohol
CPD-14104	5-formylfuran-2-carboxylate
CPD-14105	furan-2,5-dicarboxylate
CPD-14112	2-oxoglutaryl-CoA
CPD-14114	(3<i>R</i>,4<i>S</i>)-tetrahydrodaidzein
CPD-14115	(<i>S</i>)-equol
CPD-14116	CDP-D-xylulose
CPD-14117	CDP-D-arabinitol
CPD-14120	2-deoxy-L-<i>scyllo</i>-inosose
CPD-14122	2-deoxy-<i>scyllo</i>-inosamine
CPD-14123	3-amino-2,3-dideoxy-<i>scyllo</i>-inosose
CPD-14125	paromamine
CPD-14126	2'-<i>N</i>-acetylparomamine
CPD-14127	2'-deamino-2'-hydroxyparomamine
CPD-14128	2'-deamino-2'-hydroxyneamine
CPD-14133	(<i>R</i>)-NADPHX
CPD-14137	neamine
CPD-14138	kanamycin D
CPD-14139	3''-deamino-3''-hydroxykanamycin B
CPD-14141	neomycin C
CPD-14143	ribostamycin
CPD-14149	2-hydroxy-6-oxo-nona-2,4-dienoate
CPD-14151	3-isopropylcatechol
CPD-14153	3''-deamino-3''-hydroxykanamycin C
CPD-14154	tobramycin
CPD-14155	6'-dehydroparomamine
CPD-14156	2'-deamino-2'-hydroxy-6'-dehydroparomamine
CPD-14158	nebramycin 5'
CPD-14159	6''-<i>O</i>-carbamoylkanamycin B
CPD-14161	dibekacin
CPD-14162	arbekacin
CPD-14164	2,2',3,3'-tetrahydroxybiphenyl
CPD-14165	(2Z,2E)-2-hydroxy-6-oxo-6-(2,3-dihydroxyphenyl)-hexa-2,4-dienoate
CPD-14166	6'''-deamino-6'''-hydroxyneomycin C
CPD-14167	6'''-deamino-6'''-oxoneomycin C
CPD-14168	2'''-acetyl-6'''-deamino-6'''-hydroxyneomycin C
CPD-14177	paromomycin
CPD-14178	5''-phosphoribostamycin
CPD-14185	5-ribosylparomamine
CPD-14186	2'''-acetyl-6'''-hydroxyparomomycin
CPD-14187	6'''-hydroxyparomomycin
CPD-14188	6'''-oxoparomomycin
CPD-14189	5''-phosphoribosylparomamine
CPD-14191	&gamma;-L-glutamyl-butirosin B
CPD-14193	butirosin B
CPD-14197	amikacin
CPD-142	2-(4-hydroxyphenyl)-2-oxoacetate
CPD-14209	G-418
CPD-14214	gentamicin X2
CPD-1422	1,4-dimethylbenzene
CPD-14220	1-nonadecene
CPD-14223	1-heptadecene
CPD-14229	1-octadecene
CPD-14238	hentriaconta-3,6,9,12,15,19,22,25,28-nonaene
CPD-14239	hexadeca-4,7,10,13-tetraene-1-oyl-CoA
CPD-14241	(6Z,9Z,12Z,15Z)-3-oxo-2-[(2Z,5Z,8Z,11Z)-tetradeca-2,5,8,11-tetraen-1-yl]octadeca-6,9,12,15-tetraenoate
CPD-14248	UDP-<i>N,N'</i>-diacetylbacillosamine
CPD-14254	<i>N,N'</i>-diacetyl-&alpha;-D-bacillosaminyl-diphospho-<i>tri-trans,hepta-cis</i>-undecaprenol
CPD-14256	<i>N</i>-acetyl-D-galactosaminyl-&alpha;-(1&rarr;3)-<i>N,N'</i>-diacetyl-&alpha;-D-bacillosaminyl-diphospho-<i>tri-trans,hepta-cis</i>-undecaprenol
CPD-14257	<i>N</i>-acetyl-D-galactosaminyl-&alpha;-(1&rarr;4)-<i>N</i>-acetyl-D-galactosaminyl-&alpha;-(1&rarr;3)-<i>N</i>,<i>N</i>'-diacetyl-&alpha;-D-bacillosaminyl-diphospho-<i>tritrans,heptacis</i>-undecaprenol
CPD-14258	(<i>N</i>-acetylgalactosaminyl)<sub>5</sub>-<i>N,N'</i>-diacetylbacillosaminyl-diphospho-<i>tri-trans,hepta-cis</i>-undecaprenol
CPD-14259	(<i>N</i>-acetylgalactosaminyl)<sub>2</sub>-(glucosyl)-(<i>N</i>-acetylgalactosaminyl)<sub>3</sub>- <i>N,N'</i>-diacetylbacillosaminyl-diphospho-<i>tri-trans,hepta-cis</i>-undecaprenol
CPD-14270	dodecyl icosanoate
CPD-14295	&alpha;-D-galactosyl-(1&rarr;3)-<i>N,N'</i>-diacetyl-&alpha;-D-bacillosaminyl-diphospho-<i>di-trans,octa-cis</i>-undecaprenol
CPD-14296	&beta;-D-galactosyl-(1&rarr;4)-&alpha;-D-galactosyl-(1&rarr;3)-<i>N,N'</i>-diacetyl-&alpha;-D-bacillosaminyl-diphospho-<i>di-trans,octa-cis</i>-undecaprenol
CPD-14297	&alpha;-D-glucosyl-(1&rarr;3)-<i>N,N'</i>-diacetyl-&alpha;-D-bacillosaminyl-diphospho-<i>di-trans,octa-cis</i>-undecaprenol
CPD-14298	2,6-dioxo-6-phenylhexa-3-enoate
CPD-143	nitroglycerin
CPD-14319	protoviolaceinate
CPD-14320	protodeoxyviolaceinate
CPD-14323	deoxyviolaceinate
CPD-14324	violaceinate
CPD-14332	prenyl phosphate
CPD-14348	9-demethylpremithramycin A3
CPD-14349	premithramycin A3
CPD-14353	tetracenomycin F1
CPD-14355	mithramycin DK
CPD-14359	(4S)-2-acetyl-3,4,8,10,11,12-hexahydroxy-1,4-dihydrotetracen-1-one
CPD-14360	4-demethylpremithracinone
CPD-144	1,2-dinitroglycerol
CPD-14415	[L-Asp(4-L-Arg)] dipeptide
CPD-14436	<i>N</i>-acetyl-L-glutaminyl-L-glutamine amide
CPD-14437	<i>N</i>-acetyl-L-glutaminyl-L-glutamine
CPD-14445	1,4-bis-{[N-(1-imino-1-guanidino-methyl)]sulfanylmethyl}-3,6-dimethyl-benzene
CPD-14447	(2Z)-2-hydroxypenta-2,4-dienoate
CPD-14463	3-(carboxymethylaminomethyl)-4-hydroxybenzoate
CPD-145	1,3-dinitroglycerol
CPD-14517	2-methyltetrahymanol
CPD-14518	2-methyldiplopterol
CPD-14519	bacteriohopanetetrol
CPD-14520	2-methylbacteriohopanetetrol
CPD-14521	aminobacteriohopanetriol
CPD-14522	adenosyl hopane
CPD-14523	ribosyl hopane
CPD-14524	formyl hopane
CPD-14541	3-hydroxy-L-phenylalanine
CPD-14545	2-nitroimidazole
CPD-14546	1,3-dihydro-2H-imidazol-2-one
CPD-14550	<i>trans,octacis</i>-decaprenylphospho-&beta;-D-arabinofuranose
CPD-14553	UDP-&alpha;-D-galactose
CPD-14555	&beta;-glutamate
CPD-14560	UDP-2-acetamido-2-deoxy-&alpha;-D-<i>ribo</i>-hex-3-uluronate
CPD-14562	UDP-2-acetamido-3-amino-2,3-dideoxy-&alpha;-D-glucuronate
CPD-14625	spinosyn macrolactone
CPD-14627	15-oxo spinosyn macrolactone
CPD-14628	11-dehydro-15-oxo spinosyn macrolactone
CPD-14629	spinosyn tricyclic macrolactone
CPD-14630	rhamnosyl tricyclic spinosyn pseudoaglycone
CPD-14631	rhamnosyl tetracyclic spinosyn pseudoaglycone
CPD-14632	2'-<i>O</i>-methyl-rhamnosyl tetracyclic spinosyn pseudoaglycone
CPD-14633	2',3'-<i>O</i>-methyl-rhamnosyl tetracyclic spinosyn pseudoaglycone
CPD-14634	2',3',4'-<i>O</i>-methyl-rhamnosyl tetracyclic spinosyn pseudoaglycone
CPD-14635	(2S,3R,4S)-4-hydroxy-L-isoleucine
CPD-14636	4-hydroxy-L-leucine
CPD-14638	(2S,3R)-2-amino-3-methyl-4-ketopentanoate
CPD-14668	(3<i>S</i>)-&beta;-phenylalanine
CPD-14678	dTDP-3-amino-4-dehydro-2,3,6-trideoxy-&alpha;-D-glucose
CPD-14680	dTDP-3-<i>N</i>-methylamino-4-oxo-2,3,6-trideoxy-&alpha;-D-glucose
CPD-14681	dTDP-3-<i>N,N</i>-dimethylamino-4-oxo-2,3,6-trideoxy-&alpha;-D-glucose
CPD-14682	dTDP-3-<i>N,N</i>-dimethylamino-4-oxo-2,3,6-trideoxy-&alpha;-L-glucose
CPD-14683	dTDP-L-megosamine
CPD-14736	L-kynurenine
CPD-14762	2''-<i>O</i>-acetyl-ADP-ribose
CPD-14786	CDP-D-fructose
CPD-14787	CDP-D-mannitol
CPD-14793	dTDP-<i>N</i>-acetylviosamine
CPD-14795	UDP-<i>N</i>-acetyl-&alpha;-D-galactosamine
CPD-14806	5-dehydro-L-gluconate
CPD-14808	<i>scyllo</i>-inosose
CPD-1484	Al<SUP>3+</SUP>
CPD-14872	2-amino-4,5-dihydroxy-6-oxo-7-(phosphooxy)heptanoate
CPD-14873	3-amino-4-hydroxybenzoate
CPD-14874	grixazone A
CPD-14875	grixazone B
CPD-14876	3-acetylamino-4-hydroxybenzaldehyde
CPD-14877	3-acetylamino-4-hydroxybenzoate
CPD-1492	Be<SUP>2+</SUP>
CPD-14925	(3Z)-dec-3-enoyl-CoA
CPD-14926	phytenal
CPD-14927	phytenate
CPD-14966	(2Z,4Z)-2-hydroxy-5-carboxymuconate-6-semialdehyde
CPD-14994	13(S)-HOT
CPD-15	(3R,6R)-1,3,4,6-tetrachlorocyclohexa-1,4-diene
CPD-15020	1-(methylsulfanyl)xylulose 5-phosphate
CPD-15032	caloxanthin
CPD-15033	nostoxanthin
CPD-15034	(2<i>S</i>,2'<i>S</i>)-dihydroxy-<i>all-trans</i>-&beta;-carotene
CPD-15035	4-deoxy-&beta;-D-gluc-4-enuronosyl-2-sulfate-(1,3)-<i>N</i>-acetyl-&beta;-D-galactosamine
CPD-15036	5-dehydro-4-deoxy-2-O-sulfo-D-glucuronate
CPD-15047	(13<i>R</i>)-isotuberculosinol
CPD-15056	(2Z)-2-aminobut-2-enoate
CPD-15061	2-hydroxy-1-phenyl-1-propanone
CPD-15094	&beta;-L-arabinofuranosyl-(1&rarr;2)-&beta;-L-arabinofuranose
CPD-15095	&beta;-L-arabinofuranosyl-(2S,4S)-4-hydroxyproline
CPD-15097	&beta;-L-arabinofuranosyl-(1&rarr;2)-&beta;-L-arabinofuranosyl-(1&rarr;2)-&beta;-L-arabinofuranosyl-(2S,4S)-4-hydroxyproline
CPD-15121	5-fluorocytosine
CPD-15124	(+)-muconolactone
CPD-15127	5-deoxy-D-glucuronate
CPD-15157	5-phospho-D-arabinonohydroxamate
CPD-15158	5-hydroxy-CMP
CPD-15171	3-(1<i>H</i>-imidazol-4-yl)propanoate
CPD-15189	chenodeoxycholate
CPD-15209	cyclo-(L-tyrosyl-L-tyrosyl)
CPD-15210	cyclo(L-leucyl-L-leucyl)
CPD-15211	pulcherriminic acid
CPD-15213	mycocyclosin
CPD-15222	2,6-dimethyldeca-2,4,6,8-tetraenedial
CPD-15225	cyclic di-3',5'-adenylate
CPD-15230	sisomicin
CPD-15232	netilmicin
CPD-15236	3-dehydro <i>scyllo</i>-inosose
CPD-15237	glucosyl-(heptosyl)<sub>3</sub>-glucosyluronate-Kdo<sub>2</sub>-lipid A-phosphate
CPD-15238	lipid A-core-phosphoethanolamine (hep I)
CPD-15240	<i>p</i>-nitrophenyl-&alpha;-D-glucuronide
CPD-15242	lipid A-core-pyrophosphoethanolamine
CPD-15244	3-oxo-(5Z)-tetradecenoyl-CoA
CPD-15250	2,3-bis-<i>O</i>-phytanyl-<i>sn</i>-glycerol 1-phosphate
CPD-15253	saturated CDP-archaeol
CPD-15254	2'-dehydrokanamycin A
CPD-15255	saturated archaetidylinositol phosphate
CPD-15257	saturated archaetidylserine
CPD-15258	saturated archaetidylethanolamine
CPD-15277	S-(hercyn-2-yl)-L-cysteine S-oxide
CPD-15279	&gamma;-L-glutamyl-S-(hercyn-2-yl)-L-cysteine S-oxide
CPD-15280	hercynine
CPD-15320	<i>O</i>-ureido-D-serine
CPD-15321	<i>O</i>-ureido-L-serine
CPD-15323	2-benzyl-2-hydroxybutanedioate
CPD-15324	2-benzyl-3-hydroxybutanedioate
CPD-15326	2-oxo-4-phenylbutanoate
CPD-15344	(3<i>S</i>)-&beta;-methyl-phenylpyruvate
CPD-15377	<i>aldehydo</i>-D-xylose
CPD-15384	L-alanyl-&gamma;-D-glutamyl-L-lysyl-D-alanyl-D-alanine
CPD-15407	dTDP-D-&beta;-fucofuranose
CPD-15408	2-chloroacrylate
CPD-15409	(<i>S</i>)-2-chloropropanoate
CPD-15413	(3<i>S</i>)-3-hydroxy-L-arginine
CPD-15415	novobiocic acid
CPD-15416	8-demethylnovobiocic acid
CPD-15417	novobiocin
CPD-15419	decarbamoylnovobiocin
CPD-15420	demethyldecarbamoyl novobiocin
CPD-15422	3-amino-4,7-dihydroxy-coumarin
CPD-15423	3-dimethylallyl-4-hydroxybenzoate
CPD-15424	(<i>O</i>-carbamoyl)adenylate
CPD-15425	6''-<i>O</i>-carbamoylkanamycin A
CPD-15430	<i>N</i>-acetyl-&alpha;-D-galactosaminyldiphospho-<i>ditrans,octacis</i>-undecaprenol
CPD-15431	<i>N</i>-acetyl-&alpha;-D-galactosaminyl-(1&rarr;3)-<i>N</i>-acetyl-&alpha;-D-galactosaminyldiphospho-<i>ditrans,octacis</i>-undecaprenol
CPD-15435	(L-threonylcarbamoyl)adenylate
CPD-15436	(5Z)-tetradecenoyl-CoA
CPD-15467	3-dimethylallyl-4-hydroxyphenylpyruvate
CPD-15495	dTDP-4-dehydro-5-methyl-&beta;-L-rhamnose
CPD-15496	dTDP-4-<i>O</i>-demethyl-&beta;-L-noviose
CPD-15502	3-dimethylallyl-4-hydroxymandelate
CPD-15512	clorobiocic acid
CPD-15528	aclacinomycin N
CPD-15529	aclacinomycin Y
CPD-15530	<i>aldehydo</i>-D-glucuronate
CPD-15531	5-hydroxymethylcytosine
CPD-15532	tetracenomycin D3
CPD-15533	tetracenomycin C
CPD-15539	phenyl ribotide phosphate
CPD-15541	aclacinomycin T
CPD-15542	15-demethoxyaclacinomycin T
CPD-15545	3-O-phospho-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-&alpha;-D-Man-(1&rarr;3)]<sub>n</sub>-&alpha;-D-Man-(1&rarr;3)-&alpha;-D-Man-(1&rarr;3)-&alpha;-D-GlcNAc-diphospho-ditrans,octacis-undecaprenol
CPD-15546	3-O-methylphospho-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-&alpha;-D-Man-(1&rarr;3)]<sub>n</sub>-&alpha;-D-Man-(1&rarr;3)-&alpha;-D-Man-(1&rarr;3)-&alpha;-D-GlcNAc-diphospho-ditrans,octacis-undecaprenol
CPD-15547	&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;2)-[&alpha;-D-Man-(1&rarr;3)-&alpha;-D-Man-(1&rarr;3)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;2)]<sub>n</sub>-&alpha;-D-Man-(1&rarr;3)-&alpha;-D-Man-(1&rarr;3)-&alpha;-D-Man-(1&rarr;3)-&alpha;-D-GlcNAc-diphospho-<i>ditrans,octacis</i>-undecaprenol
CPD-15548	dTDP-4-dehydro-6-deoxy-&alpha;-D-gulose
CPD-15551	methanesulfinate
CPD-15554	L-homoserine lactone
CPD-15555	(2-hydroxy-1<i>H</i>-indol-3-yl)acetate
CPD-15586	2-amino-2-deoxy-D-gluconate 6-phosphate
CPD-15596	dTDP-3-acetamido-&alpha;-D-fucose
CPD-15598	dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-glucopyranose
CPD-15616	<i>keto</i>-L-sorbose
CPD-15633	<i>aldehydo</i>-D-galacturonate
CPD-15639	UDP-<i>N</i>-acetyl-&alpha;-D-galactosaminouronate
CPD-15642	UDP-2-acetamido-2,6-dideoxy-&beta;-L-<i>lyxo</i>-4-hexulose
CPD-15643	UDP-<i>N</i>-acetyl-&beta;-L-pneumosamine
CPD-15644	UDP-<i>N</i>-acetyl-&beta;-L-fucosamine
CPD-15645	UDP-<i>N</i>-acetyl-&beta;-L-rhamnosamine
CPD-15646	UDP-<i>N</i>-acetyl-&beta;-L-quinovosamine
CPD-15647	UDP-<i>N</i>-acetyl-&alpha;-D-quinovosamine
CPD-15648	UDP-<i>N</i>-acetyl-&alpha;-D-fucosamine
CPD-15670	UDP-2,6-dideoxy-2-acetamidino-&beta;-L-galactose
CPD-15673	UDP-2-acetamido-3-acetamidino-2,3-dideoxy-&alpha;-D-mannuronate
CPD-15716	sucrose 6<sup>G</sup>-phosphate
CPD-15720	aklavinone
CPD-15721	aklaviketone
