12DICHLORETHDEG-PWY	1,2-dichloroethane degradation
PWY-7391	isoprene biosynthesis II (engineered)
PWY-7394	urate conversion to allantoin II
PWY-7395	D-galactosamine and <i>N</i>-acetyl-D-galactosamine degradation
PWY-7396	butanol and isobutanol biosynthesis (engineered)
PWY-7397	naringenin biosynthesis (engineered)
PWY-7398	coumarins biosynthesis (engineered)
PWY-7399	methylphosphonate degradation II
PWY-7400	L-arginine biosynthesis IV (archaebacteria)
PWY-7401	crotonate fermentation (to acetate and cyclohexane carboxylate)
PWY-7403	tetramethylpyrazine degradation
PWY-7405	aurachin RE biosynthesis
PWY-7407	aurachin A, B, C and D biosynthesis
PWY-7409	phospholipid remodeling (phosphatidylethanolamine, yeast)
PWY-741	<I>p</I>-cymene degradation to <I>p</I>-cumate
PWY-7410	ipsdienol biosynthesis
PWY-7412	mycinamicin biosynthesis
PWY-7413	dTDP-6-deoxy-&alpha;-D-allose biosynthesis
PWY-7414	dTDP-&alpha;-D-mycaminose biosynthesis
PWY-7415	tylosin biosynthesis
PWY-7419	FR-900098 and FR-33289 antibiotics biosynthesis
PWY-7421	narbomycin, pikromycin and novapikromycin biosynthesis
PWY-7422	methymycin, neomethymycin and novamethymycin biosynthesis
PWY-7425	2-chloroacrylate degradation I
PWY-7431	aromatic biogenic amine degradation (bacteria)
PWY-7432	L-phenylalanine biosynthesis III (cytosolic, plants)
PWY-7434	terminal <i>O</i>-glycans residues modification (via type 2 precursor disaccharide)
PWY-7440	dTDP-&beta;-L-4-<i>epi</i>-vancosamine biosynthesis
PWY-7442	drosopterin and aurodrosopterin biosynthesis
PWY-7446	sulfoquinovose degradation I
PWY-7447	2-aminoethylphosphonate degradation III
PWY-7456	&beta;-(1,4)-mannan degradation
PWY-7459	kojibiose degradation
PWY-7462	3,3'-disulfanediyldipropannoate degradation
PWY-7465	3,3'-thiodipropanoate degradation
PWY-7466	acetone degradation III (to propane-1,2-diol)
PWY-7467	2-acetamido-4-amino-2,4,6-trideoxy-&alpha;-D-galactosyl-diphospho-<i>ditrans,octacis</i>-undecaprenol biosynthesis
PWY-7469	gentisate degradation II
PWY-7470	phosphatidylcholine biosynthesis VII
PWY-7477	momilactone A biosynthesis
PWY-7480	2,3-dihydroxybenzoate degradation
PWY-7482	cyclooctatin biosynthesis
PWY-7483	elloramycin biosynthesis
PWY-7485	tetracenomycin C biosynthesis
PWY-7489	oryzalexin A, B, and C biosynthesis
PWY-7492	paspaline biosynthesis
PWY-7494	choline degradation IV
PWY-7496	linuron degradation
PWY-7507	chelerythrine biosynthesis
PWY-7509	cardiolipin and phosphatidylethanolamine biosynthesis (<i>Xanthomonas</i>)
PWY-7510	rhizocticin A and B biosynthesis
PWY-7511	protein ubiquitination
PWY-7512	3,5,6-trichloro-2-pyridinol degradation
PWY-7513	flaviolin dimer and mompain biosynthesis
PWY-7516	L-lyxonate degradation
PWY-7517	brassicicene C biosynthesis
PWY-7521	3-(4-sulfophenyl)butanoate degradation
PWY-7524	mevalonate pathway III (archaea)
PWY-7530	&beta;-D-galactosaminyl-(1&rarr;3)-<i>N</i>-acetyl-&alpha;-D-galactosamine biosynthesis
PWY-7531	mannojirimycin biosynthesis
PWY-7536	2-amino-3-hydroxycyclopent-2-enone biosynthesis
PWY-7539	6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)
PWY-7541	1,2-propanediol biosynthesis from lactate (engineered)
PWY-7547	prodigiosin biosynthesis
PWY-7548	methylthiolincosamide biosynthesis
PWY-7550	ergothioneine biosynthesis II (fungi)
PWY-7552	heme <i>b</i> biosynthesis III (from siroheme)
PWY-7554	heme <i>d</i><sub>1</sub> biosynthesis
PWY-7557	(-)-dehydrodiconiferyl alcohol degradation
PWY-7559	glutathione degradation (DUG pathway - yeast)
PWY-7560	methylerythritol phosphate pathway II
PWY-7562	3,6-anhydro-&alpha;-L-galactopyranose degradation
PWY-7564	bacimethrin and bacimethrin pyrophosphate biosynthesis
PWY-7566	L-gulonate degradation
PWY-7568	L-galactose degradation
PWY-7569	arginomycin biosynthesis
PWY-7570	blasticidin S biosynthesis
PWY-7571	ferrichrome A biosynthesis
PWY-7573	GDP-mycosamine biosynthesis
PWY-7574	propanoyl-CoA degradation II
PWY-7577	ferrichrome biosynthesis
PWY-7578	phycoviolobilin biosynthesis
PWY-7579	phycourobilin biosynthesis
PWY-7580	phycoerythrobilin biosynthesis II
PWY-7581	<i>N</i>-acetylneuraminate and <i>N</i>-acetylmannosamine degradation II
PWY-7586	&beta;-1,4-D-mannosyl-<i>N</i>-acetyl-D-glucosamine degradation
PWY-7587	oleate biosynthesis III (cyanobacteria)
PWY-7588	ursodeoxycholate biosynthesis (bacteria)
PWY-7589	palmitoleate biosynthesis III (cyanobacteria)
PWY-7591	okenone biosynthesis
PWY-7593	linoleate biosynthesis III (cyanobacteria)
PWY-7594	&gamma;-linolenate biosynthesis III (cyanobacteria)
PWY-7595	stearidonate biosynthesis (cyanobacteria)
PWY-7598	&alpha;-linolenate biosynthesis II (cyanobacteria)
PWY-761	rhizobactin 1021 biosynthesis
PWY-7610	GDP-6-deoxy-D-<i>altro</i>-heptose biosynthesis
PWY-7613	GDP-6-deoxy-D-<i>manno</i>-heptose biosynthesis
PWY-7616	methanol oxidation to carbon dioxide
PWY-7621	autoinducer CAI-1 biosynthesis
PWY-7622	UDP-&alpha;-D-galactofuranose biosynthesis
PWY-7624	nystatin biosynthesis
PWY-7626	bacilysin biosynthesis
PWY-7627	2,4,6-trinitrophenol and 2,4-dinitrophenol degradation
PWY-7637	2,2'-dihydroxyketocarotenoids biosynthesis
PWY-7638	echinenone and zeaxanthin biosynthesis (<i>Synechocystis</i>)
PWY-7639	bis(guanylyl molybdenum cofactor) biosynthesis
PWY-7641	5-hexynoate biosynthesis
PWY-7644	heparin degradation
PWY-7645	hyaluronan degradation
PWY-7646	dermatan sulfate degradation I (bacterial)
PWY-7647	ulvan degradation
PWY-7651	heparan sulfate degradation
PWY-7657	dTDP-&beta;-L-digitoxose biosynthesis
PWY-7658	protein <I>N</i>-glycosylation (<i>Methanococcus voltae</i>)
PWY-7659	viridicatumtoxin biosynthesis
PWY-7661	protein <I>N</i>-glycosylation (<i>Haloferax volcanii</i>)
PWY-7663	gondoate biosynthesis (anaerobic)
PWY-7664	oleate biosynthesis IV (anaerobic)
PWY-7666	galactolipid biosynthesis II
PWY-7671	saframycin A biosynthesis
PWY-7674	CMP-8-amino-3,8-dideoxy-D-<I>manno</I>-octulosonate biosynthesis
PWY-7675	Kdo transfer to lipid IV<sub>A</sub> II
PWY-7676	Kdo8N transfer to lipid IV<sub>A</sub>
PWY-7677	rosamicin biosynthesis
PWY-7682	arabidopyrone biosynthesis
PWY-7683	nitrite reduction (hemoglobin)
PWY-7684	&alpha;-diglucosyldiacylglycerol biosynthesis
PWY-7688	dTDP-D-ravidosamine and dTDP-4-acetyl-D-ravidosamine biosynthesis
PWY-7690	holomycin biosynthesis
PWY-7691	10,13-epoxy-11-methyl-octadecadienoate biosynthesis
PWY-7693	guadinomine B biosynthesis
PWY-7694	zwittermicin A biosynthesis
PWY-7700	4-methylphenol degradation to protocatechuate
PWY-7703	2,4-xylenol degradation to protocatechuate
PWY-7706	dapdiamides biosynthesis
PWY-7708	lyngbyatoxin biosynthesis
PWY-7709	(3<i>R</i>)-linalool biosynthesis
PWY-7710	FeMo cofactor biosynthesis
PWY-7716	penicillin G and penicillin V biosynthesis
PWY-7717	3-hydroxy-4-methyl-anthranilate biosynthesis I
PWY-7718	actinomycin D biosynthesis
PWY-7719	CMP-diacetamido-8-epilegionaminic acid biosynthesis
PWY-7720	ophiobolin F biosynthesis
PWY-7721	methyl phomopsenoate biosynthesis
PWY-7723	bacterial bioluminescence
PWY-7729	5,6-dimethylbenzimidazole biosynthesis II (anaerobic)
PWY-7733	3-hydroxyquinaldate biosynthesis
PWY-7734	quinoxaline-2-carboxylate biosynthesis
PWY-7735	echinomycin and triostin A biosynthesis
PWY-7736	stellatic acid biosynthesis
PWY-7737	thiocoraline biosynthesis
PWY-7738	polyacyltrehalose biosynthesis
PWY-7741	phthiocerol biosynthesis
PWY-7742	phenolphthiocerol biosynthesis
PWY-7743	dimycocerosyl triglycosyl phenolphthiocerol biosynthesis
PWY-7744	dimycocerosyl phthiocerol biosynthesis
PWY-7745	p-HBAD biosynthesis
PWY-7746	mycobacterial sulfolipid biosynthesis
PWY-7747	diphenyl ethers degradation
PWY-7751	shinorine biosynthesis
PWY-7752	gadusol biosynthesis
PWY-7754	bile acids degradation
PWY-7755	iso-bile acids biosynthesis I
PWY-7756	iso-bile acids biosynthesis II
PWY-7757	bisphenol A degradation
PWY-7758	bacteriochlorophyll <i>d</i> biosynthesis
PWY-7759	bacteriochlorophyll <i>c</i> biosynthesis
PWY-7760	bacteriochlorophyll <i>e</i> biosynthesis
PWY-7761	NAD salvage pathway II (PNC IV cycle)
PWY-7762	bacteriochlorophyll <i>b</i> biosynthesis
PWY-7764	chlorophyll <i>a</i> biosynthesis III
PWY-7765	3-hydroxy-4-methyl-anthranilate biosynthesis II
PWY-7766	heme <i>b</i> biosynthesis IV (Gram-positive bacteria)
PWY-7767	L-leucine degradation IV (Stickland reaction)
PWY-7769	phosalacine biosynthesis
PWY-7770	indolmycin biosynthesis
PWY-7772	&gamma;-resorcylate degradation II
PWY-7773	&gamma;-resorcylate degradation I
PWY-7774	propane degradation I
PWY-7775	propane degradation II
PWY-7776	ethene and chloroethene degradation
PWY-7778	2-methylpropene degradation
PWY-7779	methyl <i>tert</i>-butyl ether degradation
PWY-7780	butane degradation
PWY-7781	&omega;-sulfo-II-dihydromenaquinone-9 biosynthesis
PWY-7782	plasmalogen biosynthesis
PWY-7784	reductive acetyl coenzyme A pathway II (autotrophic methanogens)
PWY-7786	D-threitol degradation
PWY-7787	L-threitol degradation
PWY-7788	erythritol degradation II
PWY-7789	erythritol degradation I
PWY-7790	UMP biosynthesis II
PWY-7791	UMP biosynthesis III
PWY-7793	dimethyl sulfide biosynthesis from methionine
PWY-7794	polyethylene terephthalate degradation
PWY-7795	terephthalate degradation
PWY-7796	pentose phosphate pathway (oxidative branch) II
PWY-7797	nocardicin A biosynthesis
PWY-7799	Arg/N-end rule pathway (eukaryotic)
PWY-7800	Ac/N-end rule pathway
PWY-7801	N-end rule pathway I (prokaryotic)
PWY-7802	N-end rule pathway II (prokaryotic)
PWY-7804	glyphosate degradation I
PWY-7805	(aminomethyl)phosphonate degradation
PWY-7807	glyphosate degradation III
PWY-7808	tetracycline resistance
PWY-7811	6-methylpretetramide biosynthesis
PWY-7812	tetracycline and oxytetracycline biosynthesis
PWY-7814	dTDP-L-daunosamine biosynthesis
PWY-7815	poly(ribitol phosphate) wall teichoic acid biosynthesis I (<i>B. subtilis</i>)
PWY-7816	poly(ribitol phosphate) wall teichoic acid biosynthesis II (<i>S. aureus</i>)
PWY-7817	type I lipoteichoic acid biosynthesis (<i>S. aureus</i>)
PWY-7818	type IV lipoteichoic acid biosynthesis (<i>S. pneumoniae</i>)
PWY-7819	poly(3-O-&beta;-D-glucopyranosyl-<i>N</i>-acetylgalactosamine 1-phosphate) wall teichoic acid biosynthesis
PWY-7820	teichuronic acid biosynthesis (<i>B. subtilis</i> 168)
PWY-7821	tunicamycin biosynthesis
PWY-7822	chitin degradation III (Serratia)
PWY-7824	prunasin and amygdalin biosynthesis
PWY-7828	cyclobis-(1&rarr;6)-&alpha;-nigerosyl degradation
PWY-7831	ABH and Lewis epitopes biosynthesis from type 2 precursor disaccharide
PWY-7832	ABH and Lewis epitopes biosynthesis from type 1 precursor disaccharide
PWY-7833	biosynthesis of Lewis epitopes (H. pylori)
PWY-7837	i antigen and I antigen biosynthesis
PWY-7842	UDP-yelosamine biosynthesis
PWY-7843	heme degradation IV
PWY-7844	heme degradation III
PWY-7845	heme degradation II
PWY-7846	heme degradation V
PWY-7849	urate conversion to allantoin III
PWY-7851	coenzyme A biosynthesis II (eukaryotic)
PWY-7852	6-hydroxymethyl-dihydropterin diphosphate biosynthesis IV (Plasmodium)
PWY-7853	6-hydroxymethyl-dihydropterin diphosphate biosynthesis V (<i>Pyrococcus</i>)
PWY-7854	crotonyl-CoA/ethylmalonyl-CoA/hydroxybutyryl-CoA cycle (engineered)
PWY-7855	ectoine degradation
PWY-7856	heme <i>a</i> biosynthesis
PWY-7857	adlupulone and adhumulone biosynthesis
PWY-7858	(5Z)-dodecenoate biosynthesis II
PWY-7859	jasmonoyl-L-isoleucine inactivation
PWY-7861	L-pipecolate biosynthesis
PWY-7862	D-altritol and galactitol degradation
PWY-7863	roseoflavin biosynthesis
PWY-7864	8-methylmenaquinone biosynthesis
PWY-7869	<i>cis</i>-alkene biosynthesis
PWY-7870	L-cysteine biosynthesis VII (from <i>S</i>-sulfo-L-cysteine)
PWY-7871	D-threonate degradation
PWY-7872	D-erythronate degradation I
PWY-7873	D-erythronate degradation II
PWY-7874	L-threonate degradation
PWY-7878	A-factor &gamma;-butyrolactone biosynthesis
PWY-7881	virginiae butanolide type &gamma;-butyrolactones biosynthesis
PWY-7882	IM-2 type &gamma;-butyrolactones biosynthesis
PWY-7883	anhydromuropeptides recycling II
PWY-7884	lipoprotein posttranslational modification
PWY-7885	phosphatidylinositol mannoside biosynthesis
PWY-7886	cell-surface glycoconjugate-linked phosphocholine biosynthesis
PWY-7887	protein SAMPylation and SAMP-mediated thiolation
PWY-7888	tRNA-uridine 2-thiolation (cytoplasmic)
PWY-7889	tRNA-uridine 2-thiolation (mammalian mitochondria)
PWY-7891	tRNA-uridine 2-thiolation (yeast mitochondria)
PWY-7892	tRNA-uridine 2-thiolation (bacteria)
PWY-7893	protein Pupylation and dePupylation
PWY-7897	flavonoid di-C-glucosylation
PWY-7898	4,4'-disulfanediyldibutanoate degradation
PWY-7900	glycogen biosynthesis III (from &alpha;-maltose 1-phosphate)
PWY-7902	glucosylglycerol biosynthesis
PWY-7904	tRNA-uridine 2-thiolation (thermophilic bacteria)
PWY-7905	<i>Escherichia coli</i> serotype O9a <i>O</i>-antigen biosynthesis
PWY-7906	rhizobitoxine biosynthesis
PWY-7907	(2S,3E)-2-amino-4-methoxy-but-3-enoate biosynthesis
PWY-7908	formaldehyde oxidation V (bacillithiol-dependent)
PWY-7909	formaldehyde oxidation VII (THF pathway)
PWY-7914	coral bioluminescence
PWY-7915	jellyfish bioluminescence
PWY-7924	rubber degradation I
PWY-7925	rubber degradation II
PWY-7927	sulfide oxidation IV (metazoa)
PWY-7928	nickel cofactor biosynthesis
PWY-7929	polybrominated phenols biosynthesis
PWY-7930	pyoluteorin biosynthesis
PWY-7931	brominated pyrroles biosynthesis
PWY-7932	polybrominated biphenyls and diphenyl ethers biosynthesis
PWY-7934	polybrominated dihydroxylated diphenyl ethers biosynthesis
PWY-7935	spongiadioxin C biosynthesis
PWY-7938	isorenieratene biosynthesis I (actinobacteria)
PWY-7939	chlorobactene biosynthesis
PWY-7940	lauryl-hydroxychlorobactene glucoside biosynthesis
PWY-7941	isorenieratene biosynthesis II (<i>Chlorobiaceae</i>)
PWY-7942	5-oxo-L-proline metabolism
PWY-7944	bacterioruberin biosynthesis
PWY-7945	2,2'-bis-(4-hydroxy-3-methybut-2-enyl)-&beta;,&beta;-carotene monoglucoside biosynthesis
PWY-7946	sarcinaxanthin diglucoside biosynthesis
PWY-7947	flexixanthin biosynthesis
PWY-7948	4-oxopentanoate degradation
PWY-7953	UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis III (<i>meso</i>-diaminopimelate containing)
PWY-7954	tabtoxinine-&beta;-lactam biosynthesis
PWY-7955	paerucumarin biosynthesis
PWY-7956	3-[(<i>E</i>)-2-isocyanoethenyl]-1<i>H</i>-indole biosynthesis
PWY-7957	hapalindole H biosynthesis
PWY-7958	12-<i>epi</i>-fischerindole biosynthesis
PWY-7959	12-<i>epi</i>-hapalindole biosynthesis
PWY-7960	rhabduscin biosynthesis
PWY-7961	phenyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP
PWY-7962	adenosylcobinamide-GDP biosynthesis from cobyrinate <i>a,c</i>-diamide
PWY-7963	4-methylphenyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP
PWY-7964	adeninyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP
PWY-7965	2-methyladeninyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP
PWY-7966	5-methoxy-6-methylbenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP
PWY-7967	5-methoxybenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP
PWY-7968	5-methylbenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP
PWY-7969	5-hydroxybenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP
PWY-7970	benzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP
PWY-7971	adenosylcobinamide-GDP salvage from cobinamide I
PWY-7972	adenosylcobinamideGDP salvage from cobinamide II
PWY-7974	cobalamin salvage (eukaryotic)
PWY-7975	adenosylcobalamin biosynthesis from adenosylcobinamide-GDP II
PWY-7977	L-methionine biosynthesis IV (archaea)
PWY-7978	<i>N</i>-methylpyrrolidone degradation
PWY-7981	&alpha;-dystroglycan glycosylation
PWY-7982	pinoresinol degradation
PWY-7983	pseudomonine biosynthesis
PWY-7984	acinetobactin biosynthesis
PWY-7985	oxalate degradation VI
PWY-7986	anguibactin biosynthesis
PWY-7987	vanchrobactin biosynthesis
PWY-7988	baumannoferrin biosynthesis
PWY-7989	acinetoferrin biosynthesis
PWY-7990	staphyloferrin A biosynthesis
PWY-7991	toxoflavin biosynthesis
PWY-7993	&beta;-dihydromenaquinone-9 biosynthesis
PWY-8002	4-coumarate degradation (aerobic)
PWY-8003	<i>trans</i>-caffeate degradation (aerobic)
PWY-8004	Entner-Doudoroff pathway I
PWY-8007	staphylopine biosynthesis
PWY-8008	staphyloferrin B biosynthesis
PWY-8009	L-cysteine biosynthesis VIII (Thermococcus kodakarensis)
PWY-801	homocysteine and cysteine interconversion
PWY-8010	L-cysteine biosynthesis IX (Trichomonas vaginalis)
PWY-8011	L-serine biosynthesis II
PWY-8012	mupirocin biosynthesis
PWY-8013	UDP-<i>N</i>-acetyl-D-galactosamine biosynthesis III
PWY-8014	L-phenylalanine degradation VI (Stickland reaction)
PWY-8015	glycine degradation (Stickland reaction)
PWY-8016	L-tyrosine degradation V (Stickland reaction)
PWY-8017	L-tryptophan degradation XIII (Stickland reaction)
PWY-8018	itaconate biosynthesis II
PWY-8019	2-hydroxyparaconate and itatartarate biosynthesis
PWY-8020	D-xylose degradation V
PWY-8022	salmochelin degradation
PWY-8023	salmochelin biosynthesis
PWY-8025	cyanuric acid degradation I
PWY-8026	sterol biosynthesis (methylotrophs)
PWY-8029	limonene degradation IV (anaerobic)
PWY-8032	chloramphenicol biosynthesis
PWY-8033	aureothin biosynthesis
PWY-8034	spectinabilin biosynthesis
PWY-8035	streptovaricin biosynthesis
PWY-8036	chaxamycin biosynthesis
PWY-8037	saliniketal A biosynthesis
PWY-8038	naphthomycin biosynthesis
PWY-8039	mitomycin biosynthesis
PWY-8040	ansatrienin biosynthesis
PWY-8043	ophthalmate biosynthesis
PWY-8044	cyclohexane-1-carboxyl-CoA biosynthesis
PWY-8045	cylindrospermopsin biosynthesis
PWY-8047	bryostatin biosynthesis
PWY-8049	pederin biosynthesis
PWY-822	fructan biosynthesis
PWY-881	trehalose biosynthesis II
PWY-882	L-ascorbate biosynthesis I (L-galactose pathway)
PWY-922	mevalonate pathway I
PWY-I9	L-cysteine biosynthesis VI (from L-methionine)
PWY0-1021	L-alanine biosynthesis III
PWY0-1182	trehalose degradation II (cytosolic)
PWY0-1221	putrescine degradation II
PWY0-1241	ADP-L-<i>glycero</i>-&beta;-D-<i>manno</i>-heptose biosynthesis
PWY0-1261	anhydromuropeptides recycling I
PWY0-1264	biotin-carboxyl carrier protein assembly
PWY0-1275	lipoate biosynthesis and incorporation II
PWY0-1280	ethylene glycol degradation
PWY0-1295	pyrimidine ribonucleosides degradation
PWY0-1296	purine ribonucleosides degradation
PWY0-1300	2-<I>O</I>-&alpha;-mannosyl-D-glycerate degradation
PWY0-1303	aminopropylcadaverine biosynthesis
PWY0-1305	L-glutamate degradation IX (via 4-aminobutanoate)
PWY0-1306	L-galactonate degradation
PWY0-1309	chitobiose degradation
PWY0-1312	acetate and ATP formation from acetyl-CoA I
PWY0-1313	acetate conversion to acetyl-CoA
PWY0-1315	L-lactaldehyde degradation (anaerobic)
PWY0-1317	L-lactaldehyde degradation (aerobic)
PWY0-1319	CDP-diacylglycerol biosynthesis II
PWY0-1324	<i>N</i>-acetylneuraminate and <i>N</i>-acetylmannosamine degradation I
PWY0-1337	oleate &beta;-oxidation
PWY0-1338	polymyxin resistance
PWY0-1391	<i>S</i>-methyl-5'-thioadenosine degradation IV
PWY0-1415	superpathway of heme <i>b</i> biosynthesis from uroporphyrinogen-III
PWY0-1433	tetrahydromonapterin biosynthesis
PWY0-1465	D-malate degradation
PWY0-1466	trehalose degradation VI (periplasmic)
PWY0-1471	uracil degradation III
PWY0-1477	ethanolamine utilization
PWY0-1479	tRNA processing
PWY0-1533	methylphosphonate degradation I
PWY0-1534	hydrogen sulfide biosynthesis I
PWY0-1535	D-serine degradation
PWY0-1545	cardiolipin biosynthesis III
PWY0-1546	muropeptide degradation
PWY0-1565	D-lactate to cytochrome <i>bo</i> oxidase electron transfer
PWY0-1567	NADH to cytochrome <i>bo</i> oxidase electron transfer II
PWY0-1568	NADH to cytochrome <i>bd</i> oxidase electron transfer II
PWY0-1569	autoinducer AI-2 degradation
PWY0-1573	nitrate reduction VIIIb (dissimilatory)
PWY0-1585	formate to nitrite electron transfer
PWY0-1586	peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)
PWY0-1587	N<sup>6</sup>-L-threonylcarbamoyladenosine<sup>37</sup>-modified tRNA biosynthesis
PWY0-1590	NADH to hydrogen peroxide electron transfer
PWY0-1591	glycerol-3-phosphate to hydrogen peroxide electron transport
PWY0-1597	prenylated FMNH<sub>2</sub> biosynthesis
PWY0-1601	cadaverine biosynthesis
PWY0-166	superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (<i>E. coli</i>)
PWY0-301	L-ascorbate degradation I (bacterial, anaerobic)
PWY0-321	phenylacetate degradation I (aerobic)
PWY0-41	allantoin degradation IV (anaerobic)
PWY0-42	2-methylcitrate cycle I
PWY0-43	conversion of succinate to propanoate
PWY0-44	D-allose degradation
PWY0-461	L-lysine degradation I
PWY0-501	lipoate biosynthesis and incorporation I
PWY0-521	fructoselysine and psicoselysine degradation
PWY0-522	lipoate salvage I
PWY0-541	cyclopropane fatty acid (CFA) biosynthesis
PWY0-662	PRPP biosynthesis
PWY0-823	L-arginine degradation III (arginine decarboxylase/agmatinase pathway)
PWY0-862	(5Z)-dodecenoate biosynthesis I
PWY1-3	polyhydroxybutanoate biosynthesis
PWY18C3-1	cholesterol biosynthesis (plants)
PWY18C3-2	solasodine and soladulcidine biosynthesis
PWY18C3-5	&alpha;-tomatine degradation
PWY18HP-2	decaprenoxanthin diglucoside biosynthesis
PWY1F-353	glycine betaine biosynthesis III (plants)
PWY1F-467	phenylpropanoid biosynthesis, initial reactions
PWY1F-FLAVSYN	flavonoid biosynthesis
PWY1G-0	mycothiol biosynthesis
PWY1G-1	mycothiol-mediated detoxification
PWY1QP9-2	fructosyllysine and glucosyllysine degradation
PWY3DJ-11470	sphingosine and sphingosine-1-phosphate metabolism
PWY3DJ-12	ceramide <i>de novo</i> biosynthesis
PWY3DJ-35471	L-ascorbate biosynthesis IV
PWY3O-355	stearate biosynthesis III (fungi)
PWY3O-4106	NAD salvage pathway IV (from nicotinamide riboside)
PWY3O-4107	NAD salvage pathway V (PNC V cycle)
PWY3O-440	pyruvate fermentation to acetoin III
PWY3O-450	phosphatidylcholine biosynthesis I
PWY490-3	nitrate reduction VI (assimilatory)
PWY490-4	L-asparagine biosynthesis III (tRNA-dependent)
PWY4FS-11	L-ascorbate biosynthesis II (L-gulose pathway)
PWY4FS-12	VTC2 cycle
PWY4FS-13	extended VTC2 cycle
PWY4FS-2	phosphatidylcholine biosynthesis II
PWY4FS-3	phosphatidylcholine biosynthesis III
PWY4FS-4	phosphatidylcholine biosynthesis IV
PWY4FS-7	phosphatidylglycerol biosynthesis I (plastidic)
PWY4FS-8	phosphatidylglycerol biosynthesis II (non-plastidic)
PWY4LZ-257	superpathway of fermentation (<i>Chlamydomonas reinhardtii</i>)
PWY5F9-12	biphenyl degradation
PWY66-161	ethanol degradation III
PWY66-162	ethanol degradation IV
PWY66-201	nicotine degradation IV
PWY66-21	ethanol degradation II
PWY66-3	cholesterol biosynthesis II (via 24,25-dihydrolanosterol)
PWY66-341	cholesterol biosynthesis I
PWY66-366	flavin biosynthesis IV (mammalian)
PWY66-367	ketogenesis
PWY66-368	ketolysis
PWY66-373	sucrose degradation V (sucrose &alpha;-glucosidase)
PWY66-378	androgen biosynthesis
PWY66-387	fatty acid &alpha;-oxidation II
PWY66-388	fatty acid &alpha;-oxidation III
PWY66-389	phytol degradation
PWY66-391	fatty acid &beta;-oxidation VI (peroxisome)
PWY66-398	TCA cycle III (animals)
PWY66-399	gluconeogenesis III
PWY66-4	cholesterol biosynthesis III (via desmosterol)
PWY66-422	D-galactose degradation V (Leloir pathway)
PWY66-425	L-lysine degradation II (L-pipecolate pathway)
PWY66-426	hydrogen sulfide biosynthesis II (mammalian)
PWY6666-2	dopamine degradation
PWY8J2-1	bacillithiol biosynthesis
PWY8J2-20	pulcherrimin biosynthesis
PWY8J2-22	kanosamine biosynthesis II
PWYDQC-4	indole-3-acetate biosynthesis I
PWYG-321	mycolate biosynthesis
PWYQT-4427	sulfoquinovosyl diacylglycerol biosynthesis
PWYQT-4429	CO<sub>2</sub> fixation into oxaloacetate (anaplerotic)
PWYQT-4450	aliphatic glucosinolate biosynthesis, side chain elongation cycle
PYRIDNUCSAL-PWY	NAD salvage pathway I (PNC VI cycle)
PYRIDNUCSYN-PWY	NAD <i>de novo</i> biosynthesis I (from aspartate)
PYRIDOXSYN-PWY	pyridoxal 5'-phosphate biosynthesis I
PYRUVDEHYD-PWY	pyruvate decarboxylation to acetyl CoA
QUINATEDEG-PWY	quinate degradation I
REDCITCYC	TCA cycle VIII (Helicobacter)
RHAMCAT-PWY	L-rhamnose degradation I
RIBITOLUTIL-PWY	ribitol degradation
RIBOSYN2-PWY	flavin biosynthesis I (bacteria and plants)
RUMP-PWY	formaldehyde oxidation I
SALVADEHYPOX-PWY	adenosine nucleotides degradation II
SALVPURINE2-PWY	xanthine and xanthosine salvage
SAM-PWY	S-adenosyl-L-methionine biosynthesis
SERSYN-PWY	L-serine biosynthesis I
SHIKIMATEDEG-PWY	shikimate degradation I
SUCROSEUTIL2-PWY	sucrose degradation VII (sucrose 3-dehydrogenase)
SUCSYN-PWY	sucrose biosynthesis I (from photosynthesis)
SUCUTIL-PWY	sucrose degradation I (sucrose phosphotransferase)
SULFMETII-PWY	assimilatory sulfate reduction II
TAURINEDEG-PWY	taurine degradation III
TCA	TCA cycle I (prokaryotic)
TEICHOICACID-PWY	poly(glycerol phosphate) wall teichoic acid biosynthesis
THIOSULFOX-PWY	thiosulfate oxidation I (to tetrathionate)
THRDLCTCAT-PWY	L-threonine degradation III (to methylglyoxal)
THREONINE-DEG2-PWY	L-threonine degradation II
TOLUENE-DEG-2-OH-PWY	toluene degradation to 2-hydroxypentadienoate I (<I>via</I> <i>o</I>-cresol)
TOLUENE-DEG-3-OH-PWY	toluene degradation to 2-hydroxypentadienoate (<I>via 4-methylcatechol</i>)
