1-AMINO-PROPAN-2-OL	C[C@@H](O)C[N+]
CPD1G-1353	CCCCCCCCCCCCCCCCCCCCCCCCC(C(OC[C@@H]1(O[C@@H]([C@@H]([C@H]([C@@H]1O)O)O)O[C@H]2([C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)))=O)[C@H](O)CCCCCCCCCCCCCCCCCCCC3(CC(CCCCCCCCCCCCCCCCC(=O)C(CCCCCCCCCCCCCCCCCC)C)3)
CPD1G-1354	CCCCCCCCCCCCCCCCCCCCCCCCCCC(C(=O)OC[C@H]2([C@@H](O)[C@H](O)[C@@H](O)[C@@H](O[C@H]1([C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1))O2))[C@H](O)CCCCCCCCCCCCCCCCC3(CC3C(C)CCCCCCCCCCCCCCCCC(=O)C(C)CCCCCCCCCCCCCCCCC)
CPD1G-185	CC2(/C(N1(N(C(\CSC[C@H](NC(C)=O)C(=O)[O-])=C(C)/C(=O)1)C(\C)=2))=O)
CPD1G-2	CC(=O)N[C@@H](CS)C(=O)N[C@@H]2([C@@H](O[C@@H]1([C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)1))O[C@@H]([C@H]([C@@H]2O)O)CO)
CPD1G-277	CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC([C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@H]1([C@@H](OP(=O)([O-])[O-])[C@@H](O)[C@@H](O1)N2(C=NC3(C(N)=NC=NC2=3))))=O
CPD1G-332	CCCCCCCCCCCCCCCCCCCCCCCCC(C([O-])=O)C(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-])=O
CPD1G-69	CC(C)=CCCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/CCC(/C)=C/COP(O[C@H]1([C@@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1))(=O)[O-]
CPD1G-768	CCCCCCCCCCCCCCCCCCCCCCCCCCC([C@H](O)CCCCCCCCCCCCCCCC2(CC(CCCCCCCCCCC1(CC(CCCCCCCCCCCCCCCCCC)1))2))C(=O)OC[C@@H]3(O[C@@H]([C@@H]([C@H]([C@@H]3O)O)O)O[C@H]4([C@@H]([C@H]([C@@H]([C@H](O4)COP([O-])(=O)[O-])O)O)O))
CPD1G-771	CCCCCCCCCCCCCCCCCCCCCCCCC(C(OC[C@@H]1(O[C@@H]([C@@H]([C@H]([C@@H]1O)O)O)O[C@H]2([C@@H]([C@H]([C@@H]([C@H](O2)COP([O-])(=O)[O-])O)O)O)))=O)[C@H](O)CCCCCCCCCCCCCCCCCC3(C(CCCCCCCCCCCCCCCCC(OC)C(C)CCCCCCCCCCCCCCCCCC)C3)
CPD1G-772	CCCCCCCCCCCCCCCCCCCCCCCCCCC(C(OC[C@@H]1(O[C@@H]([C@@H]([C@H]([C@@H]1O)O)O)O[C@H]2([C@@H]([C@H]([C@@H]([C@H](O2)COP([O-])(=O)[O-])O)O)O)))=O)[C@H](O)CCCCCCCCCCCCCCCC3(CC3C(C)CCCCCCCCCCCCCCCC(OC)C(C)CCCCCCCCCCCCCCCCCC)
CPD1G-773	CCCCCCCCCCCCCCCCCCCCCCCCC(C(OC[C@@H]1(O[C@@H]([C@@H]([C@H]([C@@H]1O)O)O)O[C@H]2([C@@H]([C@H]([C@@H]([C@H](O2)COP([O-])(=O)[O-])O)O)O)))=O)[C@H](O)CCCCCCCCCCCCCCCCCCCC3(CC(CCCCCCCCCCCCCCCCC(=O)C(CCCCCCCCCCCCCCCCCC)C)3)
CPD1G-774	CCCCCCCCCCCCCCCCCCCCCCCCCCC(C(=O)OC[C@H]2([C@@H](O)[C@H](O)[C@@H](O)[C@@H](O[C@H]1([C@H](O)[C@@H](O)[C@H](O)[C@@H](COP(=O)([O-])[O-])O1))O2))[C@H](O)CCCCCCCCCCCCCCCCC3(CC3C(C)CCCCCCCCCCCCCCCCC(=O)C(C)CCCCCCCCCCCCCCCCC)
CPD1G-83	CCCCCCCCCCCCCCCCCCCCCCCCCCC([C@H](O)CCCCCCCCCCCCCCCC2(CC(CCCCCCCCCCC1(CC(CCCCCCCCCCCCCCCCCC)1))2))C(=O)OC[C@@H]3(O[C@@H]([C@@H](O)[C@@H](O)[C@H](O)3)OP(=O)([O-])OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(CCC=C(C)CCC=C(C)CCC=C(C)C)C)
CPD1G-852	CCCCCCCCCCCCCCCCCCCCCCCCC(C(OC[C@H]3([C@@H](O)[C@H](O)[C@@H](O)[C@@H](O[C@H]2([C@H](O)[C@@H](O)[C@H](O)[C@@H](COC(=O)C(CCCCCCCCCCCCCCCCCCCCCCCC)C(O)CCCCCCCCCCCCCCCCCC1(C(CCCCCCCCCCCCCCCCC(OC)C(C)CCCCCCCCCCCCCCCCCC)C1))O2))O3))=O)C(O)CCCCCCCCCCCCCCCCCC4(C(CCCCCCCCCCCCCCCCC(OC)C(C)CCCCCCCCCCCCCCCCCC)C4)
CPD1G-853	CCCCCCCCCCCCCCCCCCCCCCCCCCC(C(OC[C@@H]1(O[C@@H]([C@@H]([C@H]([C@@H]1O)O)O)O[C@H]2([C@@H]([C@H]([C@@H]([C@H](O2)COC(=O)C(CCCCCCCCCCCCCCCCCCCCCCCCCC)[C@H](O)CCCCCCCCCCCCCCCC3(CC3C(C)CCCCCCCCCCCCCCCC(OC)C(C)CCCCCCCCCCCCCCCCCC))O)O)O)))=O)[C@H](O)CCCCCCCCCCCCCCCC4(CC4C(C)CCCCCCCCCCCCCCCC(OC)C(C)CCCCCCCCCCCCCCCCCC)
CPD1G-854	CCCCCCCCCCCCCCCCCCCCCCCCC(C(OC[C@@H]1(O[C@@H]([C@@H]([C@H]([C@@H]1O)O)O)O[C@H]2([C@@H]([C@H]([C@@H]([C@H](O2)COC(=O)C(CCCCCCCCCCCCCCCCCCCCCCCC)[C@H](O)CCCCCCCCCCCCCCCCCCCC3(CC(CCCCCCCCCCCCCCCCC(=O)C(CCCCCCCCCCCCCCCCCC)C)3))O)O)O)))=O)[C@H](O)CCCCCCCCCCCCCCCCCCCC4(CC(CCCCCCCCCCCCCCCCC(=O)C(CCCCCCCCCCCCCCCCCC)C)4)
CPD1G-855	CCCCCCCCCCCCCCCCCCCCCCCCCCC(C(=O)OC[C@H]3([C@@H](O)[C@H](O)[C@@H](O)[C@@H](O[C@H]2([C@H](O)[C@@H](O)[C@H](O)[C@@H](COC(=O)C(CCCCCCCCCCCCCCCCCCCCCCCCCC)[C@H](O)CCCCCCCCCCCCCCCCC1(CC1C(C)CCCCCCCCCCCCCCCCC(=O)C(C)CCCCCCCCCCCCCCCCC))O2))O3))[C@H](O)CCCCCCCCCCCCCCCCC4(CC4C(C)CCCCCCCCCCCCCCCCC(=O)C(C)CCCCCCCCCCCCCCCCC)
CPD1UA-41	CCCCCCCC(C1(C(=O)OCC(COP([O-])([O-])=O)=1))=O
CPD1UA-42	CCC(C)CCCCC(C1(C(=O)OCC(COP([O-])([O-])=O)=1))=O
CPD1UA-44	CCCCCCCC(C1([C@H](COP([O-])([O-])=O)COC(=O)1))=O
CPD1UA-45	CCC(C)CCCCC(C1([C@H](COP([O-])([O-])=O)COC(=O)1))=O
CPD1UA-57	CCC(C)CCCCC(CC(=O)OCC(=O)COP([O-])(=O)[O-])=O
CPD1UA-58	CCCCCCCC(CC(=O)OCC(=O)COP([O-])(=O)[O-])=O
CPD3O-4151	C1(/C(\CCO)=C/C=C(C=1)O)
CPD490-7	CC(C(O)[C@@H]1(CNC2(\N=C(N)NC(C(\N1)=2)=O)))O[C@H]3(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)3)
CPD66-28	CC(=O)[C@@H]3(CC[C@@H]4([C@H]2(CC=C1(CC(=O)CC[C@@](C)1[C@H]2CC[C@](C)34))))
CPD66-29	C[C@]13(CCC(=O)CC/1=C/C[C@@H]2([C@H]4(CCC(=O)[C@](CC[C@@H]23)(C)4)))
CPD8J2-1	CC(N[C@@H]1([C@@H](O[C@@H](CC([O-])=O)C([O-])=O)O[C@@H]([C@H]([C@@H]1O)O)CO))=O
CPD8J2-2	C([C@H]1([C@H]([C@@H]([C@H]([C@@H](O[C@@H](CC([O-])=O)C([O-])=O)O1)[N+])O)O))O
CPD8J2-3	C(S)[C@H]([N+])C(=O)N[C@H]1([C@@H](O)[C@H](O)[C@@H](CO)O[C@H](O[C@@H](CC([O-])=O)C(=O)[O-])1)
CPDMETA-13643	C[C@H]1(CCC3(C(\C([O-])=O)=C/C2([C@@H](O)[C@](C)(C)CC123)))
CPDMETA-13650	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(CC=CC[CH]=O)=O)COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-]
CPDMETA-13651	C[C@@H]3([C@H](C=O)[C@H]2(C4([C@@H](OC(=O)C)C15(C6(/C(\N=C1[C@H](C2)N3[C@H]4C5)=C/C=CC=6)))))
CPDMETA-13652	C[C@@H]3([C@H](CO)[C@H]2(C4([C@@H](OC(=O)C)C15(C6(/C(\N=C1[C@H](C2)N3[C@H]4C5)=C/C=CC=6)))))
CPDN-385	C1(/C=CC(O)=C(C=CC(=O)C(=O)[O-])C=1)
CPDQT-27	CSCCCCC(=O)C([O-])=O
CPDQT-28	CSCCCCCC(=O)C([O-])=O
CPDQT-29	CSCCCCCCC(=O)C([O-])=O
CPDQT-30	CSCCCCCCCC(=O)C([O-])=O
CPDQT-31	CSCCCC(O)(CC([O-])=O)C(=O)[O-]
CPDQT-32	CSCCCCC(O)(CC([O-])=O)C(=O)[O-]
CPDQT-33	CSCCCCCC(O)(CC([O-])=O)C(=O)[O-]
CPDQT-34	CSCCCCCCC(O)(CC([O-])=O)C(=O)[O-]
CPDQT-340	CSCCCC[C@H]([N+])C(=O)[O-]
CPDQT-35	CSCCCCCCCC(O)(CC([O-])=O)C(=O)[O-]
CPDQT-36	C(C(CCCSC)C(O)C(=O)[O-])(=O)[O-]
CPDQT-37	CSCCCCC(C(O)C(=O)[O-])C(=O)[O-]
CPDQT-38	CSCCCCCC(C(O)C(=O)[O-])C(=O)[O-]
CPDQT-39	CSCCCCCCC(C(O)C(=O)[O-])C(=O)[O-]
CPDQT-4	C(O)[C@@H]1([C@@H](O)[C@@H](O)[C@H](O)[C@@H](OP([O-])([O-])=O)O1)
CPDQT-40	CSCCCCCCCC(C(O)C(=O)[O-])C(=O)[O-]
CPDQT-41	CSCCCCCCCCC(=O)C([O-])=O
CR+3	[Cr+++]
CREATINE	C(C(=O)[O-])N(C)C(N)=[N+]
CREATINE-P	C(C(=O)[O-])N(C)C(NP(=O)([O-])[O-])=[N+]
CROTONOBETAINYL-COA	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(C=CC[N+](C)(C)C)=O)COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-]
CROTONYL-COA	CC=CC(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1(O[C@H]([C@@H]([C@@H]1OP([O-])(=O)[O-])O)N2(C3(N=CN=C(N)C(N=C2)=3))))[O-])[O-])=O
CTP	C(OP([O-])(=O)OP([O-])(=O)OP([O-])(=O)[O-])[C@@H]1(O[C@H]([C@H](O)[C@H](O)1)N2(C=CC(N)=NC(=O)2))
CU+	[Cu+]
CU+2	[Cu++]
CYANURIC-ACID	C1(O)(=NC(O)=NC(O)=N1)
CYCLOHEXANOL	C1(CCC(CC1)O)
CYCLOHEXANONE	C1(CCC(CC1)=O)
CYCLOPENTANOL	C1(CCC(C1)O)
CYCLOPENTANONE	C1(CCC(C1)=O)
CYS	C(S)[C@@H](C(=O)[O-])[N+]
CYS-GLY	C(C([O-])=O)NC([C@H](CS)[N+])=O
CYSTAMINE	C(CSSCC[N+])[N+]
CYSTINE	C([C@@H](C(=O)[O-])[N+])SSC[C@@H](C([O-])=O)[N+]
CYTIDINE	C([C@H]2([C@H]([C@H]([C@H](N1(C(N=C(C=C1)N)=O))O2)O)O))O
CYTOSINE	C1(/NC(=O)N=C(N)C=1)
CoM	C(CS)S(=O)(=O)[O-]
D-6-P-GLUCONO-DELTA-LACTONE	C(OP([O-])(=O)[O-])[C@H]1([C@@H](O)[C@H](O)[C@@H](O)C(=O)O1)
D-ALA-D-ALA	C[C@@H]([N+])C(=O)N[C@H](C)C([O-])=O
D-ALANINE	C[C@@H]([N+])C([O-])=O
D-ALLOSE-6-PHOSPHATE	C(OP([O-])(=O)[O-])[C@H](O)[C@H](O)[C@H](O)[C@H](O)[CH]=O
D-ALLULOSE-6-PHOSPHATE	C(OP(=O)([O-])[O-])[C@H](O)[C@H](O)[C@H](O)C(=O)CO
D-ALTRONATE	C(O)[C@@H](O)[C@@H](O)[C@@H](O)[C@H](O)C(=O)[O-]
D-BETA-D-HEPTOSE-1-P	C([C@H]([C@@H]1(O[C@H]([C@H]([C@H]([C@@H]1O)O)O)OP([O-])(=O)[O-]))O)O
D-BETA-D-HEPTOSE-17-DIPHOSPHATE	C(OP([O-])(=O)[O-])[C@@H](O)[C@H]1([C@@H](O)[C@H](O)[C@H](O)[C@H](OP([O-])(=O)[O-])O1)
D-CARNITINE	C[N+](C[C@@H](O)CC(=O)[O-])(C)C
D-ERYTHRO-IMIDAZOLE-GLYCEROL-P	C1(/NC=NC(\[C@@H]([C@H](O)COP(=O)([O-])[O-])O)=1)
D-ERYTHRULOSE	C(O)[C@@H](O)C(=O)CO
D-GALACTARATE	C(=O)([O-])[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)C(=O)[O-]
D-GALACTONATE	C(O)[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)C(=O)[O-]
D-GALACTONO-1-4-LACTONE	C(O)[C@@H](O)[C@@H]1([C@H](O)[C@@H](O)C(=O)O1)
D-GLT	C(CC[C@H](C(=O)[O-])[N+])([O-])=O
D-GLUCARATE	C(=O)([C@H](O)[C@@H](O)[C@H](O)[C@H](O)C(=O)[O-])[O-]
D-LACTATE	C[C@H](C([O-])=O)O
D-LACTOYL-COA	C[C@@H](O)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-]
D-MANNONATE	C(O)[C@H]([C@@H](O)[C@H](O)[C@@H](C([O-])=O)O)O
D-METHYL-MALONYL-COA	C[C@H](C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-])C([O-])=O
D-MYO-INOSITOL-1-MONOPHOSPHATE	[C@@H]1(O)([C@H](O)[C@@H](O)[C@H](OP([O-])(=O)[O-])[C@H](O)[C@H](O)1)
D-PROLINE	C1([N+][C@H](CC1)C(=O)[O-])
D-RIBULOSE	C(O)[C@@H](O)[C@@H](O)C(=O)CO
D-RIBULOSE-1-P	C(OP([O-])(=O)[O-])C(=O)[C@H](O)[C@H](O)CO
D-SERINE	C(O)[C@@H]([N+])C(=O)[O-]
D-SORBITOL-6-P	C([C@@H]([C@H]([C@@H]([C@@H](COP([O-])(=O)[O-])O)O)O)O)O
D-TAGATURONATE	C(O)C(=O)[C@@H](O)[C@@H](O)[C@H](O)C(=O)[O-]
D-TARTRATE	C(=O)([O-])[C@@H](O)[C@H](O)C(=O)[O-]
D-THREONINE	C[C@H](O)[C@@H]([N+])C(=O)[O-]
D-XYLONATE	C(=O)([O-])[C@H](O)[C@@H](O)[C@H](O)CO
D-XYLULOSE	C(O)[C@@H](O)[C@H](O)C(=O)CO
D-aspartate-peptidoglycan	CC(C)=CCCC(/C)=C/CCC(/C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/CCC(\C)=C/COP(OP([O-])(=O)O[C@H]2([C@H](NC(=O)C)[C@@H](O[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C(=O)[O-])CCC(=O)N[C@@H](CCCCNC(C[C@@H]([N+])C([O-])=O)=O)C(N[C@H](C)C(=O)N[C@H](C)C([O-])=O)=O)[C@H](O[C@H]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](NC(=O)C)1))[C@@H](CO)O2))([O-])=O
DADP	C([C@H]3([C@H](C[C@H](N1(C2(N=CN=C(C(N=C1)=2)N)))O3)O))OP(OP([O-])([O-])=O)([O-])=O
DAIDZEIN	C3(/C(\C1(/C(=O)C2(\C=CC(\O)=C/C(/OC=1)=2)))=C/C=C(C=3)O)
DAMP	C([C@H]3([C@H](C[C@H](N1(C2(N=CN=C(C(N=C1)=2)N)))O3)O))OP([O-])([O-])=O
DATP	C([C@H]3([C@H](C[C@H](N1(C2(N=CN=C(C(N=C1)=2)N)))O3)O))OP(OP(OP([O-])(=O)[O-])([O-])=O)([O-])=O
DCDP	C([C@H]2([C@H](C[C@H](N1(C(N=C(C=C1)N)=O))O2)O))OP(OP(=O)([O-])[O-])([O-])=O
DCMP	C([C@H]2([C@H](C[C@H](N1(C(N=C(C=C1)N)=O))O2)O))OP([O-])([O-])=O
DCTP	C([C@H]2([C@H](C[C@H](N1(C(N=C(C=C1)N)=O))O2)O))OP(OP(OP(=O)([O-])[O-])([O-])=O)([O-])=O
DEACETOXYCEPHALOSPORIN-C	CC1(/CS[C@H]2([C@H](NC(=O)CCC[C@@H]([N+])C(=O)[O-])C(=O)N(C(\C(=O)[O-])=1)2))
DEACETYLCEPHALOSPORIN-C	C(O)C1(/CS[C@H]2([C@H](NC(=O)CCC[C@@H]([N+])C(=O)[O-])C(=O)N(C(\C(=O)[O-])=1)2))
DEAMIDO-NAD	C1(C(\C([O-])=O)=C/C=C[N+]=1[C@H]5(O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@@H]2(O[C@H]([C@H](O)[C@H](O)2)N3(C=NC4(C(N)=NC=NC3=4))))[C@@H](O)[C@@H](O)5))
DEHYDRO-3-DEOXY-L-RHAMNONATE	C[C@H](O)[C@H](O)CC(=O)C([O-])=O
DEHYDRO-DEOXY-GALACTONATE-PHOSPHATE	C(OP(=O)([O-])[O-])[C@@H](O)[C@H](O)CC(=O)C([O-])=O
DEHYDROQUINATE	C(=O)([O-])[C@]1(O)(CC(=O)[C@@H](O)[C@H](O)C1)
DELTA-TOCOPHEROL	CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)(CCC2(/C(\O1)=C(C)/C=C(C=2)O))
DELTA1-PIPERIDEINE-2-6-DICARBOXYLATE	C1(CC(=N[C@@H](C1)C([O-])=O)C([O-])=O)
DELTA1-PYRROLINE_2-CARBOXYLATE	C1(CCC(C([O-])=O)=N1)
DELTA3-ISOPENTENYL-PP	C=C(C)CCOP([O-])(=O)OP([O-])(=O)[O-]
DEMETHYLMACROCIN	CC[C@H]1([C@H](C=C(C)C=CC(=O)[C@H](C)C[C@H](CC=O)[C@@H]([C@@H](C)[C@H](O)CC(=O)O1)O[C@H]3(O[C@H](C)[C@@H](O[C@H]2(O[C@H]([C@H](O)[C@@](O)(C)C2)C))[C@H]([N+](C)C)[C@@H](O)3))CO[C@H]4(O[C@@H]([C@@H](O)[C@@H](O)[C@@H](O)4)C))
DEOXY-D-RIBOSE-1-PHOSPHATE	C(O)[C@@H]1(O[C@H](OP(=O)([O-])[O-])C[C@H](O)1)
DEOXYADENOSINE	C(O)[C@@H]1(O[C@H](C[C@H](O)1)N3(C=NC2(/C(=NC=NC(/N)=2)3)))
DEOXYAMIDINOPROCLAVAMINATE	C(CC[C@@H](C(=O)[O-])N1(CCC(=O)1))NC(=[N+])N
DEOXYCHOLATE	C[C@@H]([C@@H]3(CC[C@@H]4([C@H]2(CC[C@H]1(C[C@H](O)CC[C@@](C)1[C@H]2C[C@H](O)[C@](C)34)))))CCC(=O)[O-]
DEOXYCHOLYL-COA	C[C@H](CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(N=CN=C(C(N=C2)=3)N))))[O-])[O-])[C@@H]5(CC[C@@H]6([C@H]7(CC[C@H]4(C[C@H](O)CC[C@@](C)4[C@@H](C[C@H](O)[C@](C)56)7))))
DEOXYCYTIDINE	C1(/C(N)=NC(=O)N(C=1)[C@@H]2(C[C@H](O)[C@@H](CO)O2))
DEOXYGUANOSINE	C(O)[C@@H]1(O[C@H](C[C@H](O)1)N2(C=NC3(C(=O)NC(N)=NC2=3)))
DEOXYINOSINE	C(O)[C@@H]1(O[C@H](C[C@H](O)1)N3(C=NC2(\C(=NC=NC(/O)=2)3)))
DEOXYURIDINE	C1(/C(=O)NC(=O)N(C=1)[C@@H]2(C[C@H](O)[C@@H](CO)O2))
DEOXYXYLULOSE-5P	CC(=O)[C@@H](O)[C@H](O)COP([O-])(=O)[O-]
DEPHOSPHO-COA	CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@@H]1(O[C@H]([C@H](O)[C@H](O)1)N2(C=NC3(C(N)=NC=NC2=3))))[C@@H](O)C(=O)NCCC(=O)NCCS
DESMOSTEROL-CPD	CC(C)=CCC[C@@H](C)[C@@H]3(CC[C@@H]4([C@H]2(CC=C1(C[C@@H](O)CC[C@@](C)1[C@H]2CC[C@](C)34))))
DGDP	C(OP(=O)([O-])OP(=O)([O-])[O-])[C@@H]1(O[C@H](C[C@H](O)1)N2(C=NC3(C(=O)NC(N)=NC2=3)))
DGMP	C(OP(=O)([O-])[O-])[C@@H]1(O[C@H](C[C@H](O)1)N2(C=NC3(C(=O)NC(N)=NC2=3)))
DGTP	C(OP(=O)([O-])OP(=O)(OP([O-])([O-])=O)[O-])[C@@H]1(O[C@H](C[C@H](O)1)N2(C=NC3(C(=O)NC(N)=NC2=3)))
DI-H-OROTATE	C1(C(=O)NC(=O)N[C@H](C(=O)[O-])1)
DI-H-URACIL	C1(NC(CCN1)=O)=O
DIACETYL	CC(C(C)=O)=O
DIACETYLCHITOBIOSE-6-PHOSPHATE	CC(=O)N[C@@H]1(C(O)O[C@H](CO)[C@H]([C@H](O)1)O[C@H]2(O[C@@H]([C@@H](O)[C@H](O)[C@@H](NC(=O)C)2)COP([O-])(=O)[O-]))
DIAMINO-OH-PHOSPHORIBOSYLAMINO-PYR	C([C@H]2([C@@H](O)[C@@H](O)[C@H](NC1(\N=C(N)NC(=O)C(\N)=1))O2))OP(=O)([O-])[O-]
DICHLOROETHENE	[CH](/Cl)=[CH]/Cl
DICOUMAROL	C3(/C=CC4(/OC(C(/CC1(\C(OC2(/C(C(\O)=1)=CC=CC=2))=O))=C(C(\C=3)=4)/O)=O))
DIETHYLDITHIOCARBAMATE	CCN(CC)C(=S)[S-]
DIETHYLPYROCARBONATE	CCOC(OC(OCC)=O)=O
DIHYDRO-DIOH-BENZOATE	C([O-])(=O)C1(/[C@@H]([C@H](C=CC=1)O)O)
DIHYDRO-NEO-PTERIN	C1(NC2(\N=C(N)NC(=O)C(\N=C1[C@H](O)[C@H](O)CO)=2))
DIHYDRO-THYMINE	CC1(C(NC(=O)NC1)=O)
DIHYDROCHELIRUBINE	C2(C6(\C(C3(\C=CC4(C=C1(OCOC/1=C/C(C(/N(C)2)=3)=4))))=C(C=C5(OCOC\5=6))OC))
DIHYDROCLAVAMINATE	C([N+])C[C@@H]2(O[C@H]1(N(C(=O)C1)[C@H](C([O-])=O)2))
DIHYDROFOLATE	C(NC1(/C=CC(\C(=O)N[C@H](C(=O)[O-])CCC([O-])=O)=C/C=1))C2(CNC3(\N=C(N)NC(=O)C(\N=2)=3))
DIHYDRONEOPTERIN-P	C1(NC2(\N=C(N)NC(=O)C(\N=C1[C@H](O)[C@H](O)COP(=O)([O-])[O-])=2))
DIHYDRONEOPTERIN-P3	C1(NC2(\N=C(N)NC(=O)C(\N=C1[C@H](O)[C@H](O)COP([O-])(=O)OP([O-])(=O)OP([O-])(=O)[O-])=2))
DIHYDROPTERIN-CH2OH-PP	C1(C(COP(=O)([O-])OP(=O)([O-])[O-])=NC2(/C(=O)NC(N)=NC(/N1)=2))
DIHYDROSANGUINARINE	C2(C6(\C(C3(\C=CC4(C=C1(OCOC/1=C/C(C(/N(C)2)=3)=4))))=CC=C5(OCOC\5=6)))
DIHYDROXY-ACETONE-PHOSPHATE	C(C(=O)CO)OP([O-])([O-])=O
DIHYDROXY-BUTANONE-P	CC(=O)[C@H](O)COP(=O)([O-])[O-]
DIHYDROXYACETONE	C(C(CO)=O)O
DIHYDROXYNAPHTHOATE	C([O-])(=O)C1(\C=C(O)C2(\C=CC=CC(/C(/O)=1)=2))
DIHYDROXYPENTANEDIONE	CC(C([C@H](CO)O)=O)=O
DIHYDROXYPHENYLGLYCOLALDEHYDE	C(=O)[C@H](O)C1(/C=CC(/O)=C(C=1)/O)
DIISOPROPYL-FLUOROPHOSPHATE	CC(C)OP(=O)(F)OC(C)C
DIISOPROPYL-PHOSPHATE	CC(C)OP([O-])(=O)OC(C)C
DIMETHYL-GLYCINE	C[N+](CC([O-])=O)C
DIMETHYLAMINE	C[N+]C
DIMETHYLARSINATE	C[As](C)(=O)[O-]
DIMETHYLBENZIMIDAZOLE	CC1(/C(\C)=C/C2(/NC=NC(\C=1)=2))
DITHIO-NITROBENZOATE	C2(\C=C(C(\C(=O)[O-])=C/C(\SSC1(/C=C(C(=O)[O-])C(\[N+]([O-])=O)=C/C=1))=2)[N+]([O-])=O)
DITHIOTHREITOL	C(S)[C@H](O)[C@@H](O)CS
DIVINYL-PROTOCHLOROPHYLLIDE-A	C=CC4(/C(\C)=C3(C=C9(C(\C)=C(CCC(=O)[O-])/C8(=N(.[Mg]25(.N1(=C(C(\C=C)=C(C)/C/1=C/C(/N23)=4)C=C6(C(/C)=C7(C(/N56)=C([C-](C(OC)=O)C(=O)7)/8)))))9))))
DIVINYLCHLOROPHYLLIDE-A	C=CC4(/C(\C)=C3(C=C9([C@@H](C)[C@H](CCC(=O)[O-])C8(=N(.[Mg]25(.N1(=C(C(\C=C)=C(C)/C/1=C/C(/N23)=4)C=C6(C(/C)=C7(C(/N56)=C([C@@H-](C(OC)=O)C(=O)7)/8)))))9))))
DMPBQ	CC(CCC[C@H](CCC[C@@H](C)CCCC(/C)=C/CC1(\C=C(O)C(\C)=C(C)/C(\O)=1))C)C
DOCOSANOATE	CCCCCCCCCCCCCCCCCCCCCC([O-])=O
DODECANOATE	CCCCCCCCCCCC([O-])=O
DPG	C([C@@H](O)C(OP(=O)([O-])[O-])=O)OP(=O)([O-])[O-]
DTDP-D-FUCOSE	CC1(/C(=O)NC(=O)N(C=1)[C@@H]3(C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])O[C@@H]2(O[C@H](C)[C@H](O)[C@H](O)[C@@H](O)2))O3))
