1-2-Diglycerides	a 1,2-diglyceride
GO:0015168	glycerol transmembrane transporter activity
GO:0015169	glycerol-3-phosphate transmembrane transporter activity
GO:0015171	amino acid transmembrane transporter activity
GO:0015173	aromatic amino acid transmembrane transporter activity
GO:0015175	neutral amino acid transmembrane transporter activity
GO:0015179	L-amino acid transmembrane transporter activity
GO:0015180	L-alanine transmembrane transporter activity
GO:0015181	arginine transmembrane transporter activity
GO:0015183	L-aspartate transmembrane transporter activity
GO:0015184	L-cystine transmembrane transporter activity
GO:0015185	gamma-aminobutyric acid transmembrane transporter activity
GO:0015186	L-glutamine transmembrane transporter activity
GO:0015187	glycine transmembrane transporter activity
GO:0015188	L-isoleucine transmembrane transporter activity
GO:0015190	L-leucine transmembrane transporter activity
GO:0015191	L-methionine transmembrane transporter activity
GO:0015192	L-phenylalanine transmembrane transporter activity
GO:0015194	L-serine transmembrane transporter activity
GO:0015195	L-threonine transmembrane transporter activity
GO:0015196	L-tryptophan transmembrane transporter activity
GO:0015199	amino-acid betaine transmembrane transporter activity
GO:0015207	adenine transmembrane transporter activity
GO:0015208	guanine transmembrane transporter activity
GO:0015209	cytosine transmembrane transporter activity
GO:0015210	uracil transmembrane transporter activity
GO:0015211	purine nucleoside transmembrane transporter activity
GO:0015212	cytidine transmembrane transporter activity
GO:0015213	uridine transmembrane transporter activity
GO:0015214	pyrimidine nucleoside transmembrane transporter activity
GO:0015218	pyrimidine nucleotide transmembrane transporter activity
GO:0015220	choline transmembrane transporter activity
GO:0015221	lipopolysaccharide transmembrane transporter activity
GO:0015225	biotin transmembrane transporter activity
GO:0015226	carnitine transmembrane transporter activity
GO:0015230	FAD transmembrane transporter activity
GO:0015232	heme transporter activity
GO:0015233	pantothenate transmembrane transporter activity
GO:0015234	thiamine transmembrane transporter activity
GO:0015238	drug transmembrane transporter activity
GO:0015250	water channel activity
GO:0015254	glycerol channel activity
GO:0015267	channel activity
GO:0015288	porin activity
GO:0015291	secondary active transmembrane transporter activity
GO:0015292	uniporter activity
GO:0015293	symporter activity
GO:0015294	solute:cation symporter activity
GO:0015295	solute:proton symporter activity
GO:0015297	antiporter activity
GO:0015298	solute:cation antiporter activity
GO:0015299	solute:proton antiporter activity
GO:0015301	anion:anion antiporter activity
GO:0015307	drug:proton antiporter activity
GO:0015315	organophosphate:inorganic phosphate antiporter activity
GO:0015321	sodium-dependent phosphate transmembrane transporter activity
GO:0015333	peptide:proton symporter activity
GO:0015341	zinc efflux active transmembrane transporter activity
GO:0015343	siderophore transmembrane transporter activity
GO:0015344	siderophore uptake transmembrane transporter activity
GO:0015360	acetate:proton symporter activity
GO:0015366	malate:proton symporter activity
GO:0015379	potassium:chloride symporter activity
GO:0015385	sodium:proton antiporter activity
GO:0015386	potassium:proton antiporter activity
GO:0015387	potassium:proton symporter activity
GO:0015399	primary active transmembrane transporter activity
GO:0015407	monosaccharide-transporting ATPase activity
GO:0015411	taurine-transporting ATPase activity
GO:0015412	ATPase-coupled molybdate transmembrane transporter activity
GO:0015413	nickel-transporting ATPase activity
GO:0015415	ATPase-coupled phosphate ion transmembrane transporter activity
GO:0015416	ATPase-coupled organic phosphonate transmembrane transporter activity
GO:0015417	polyamine-transporting ATPase activity
GO:0015419	ATPase-coupled sulfate transmembrane transporter activity
GO:0015420	cobalamin-transporting ATPase activity
GO:0015421	oligopeptide-transporting ATPase activity
GO:0015423	maltose-transporting ATPase activity
GO:0015424	amino acid-transporting ATPase activity
GO:0015426	polar-amino acid-transporting ATPase activity
GO:0015430	glycerol-3-phosphate-transporting ATPase activity
GO:0015437	lipopolysaccharide-transporting ATPase activity
GO:0015438	teichoic-acid-transporting ATPase activity
GO:0015453	oxidoreduction-driven active transmembrane transporter activity
GO:0015471	nucleoside-specific channel forming porin activity
GO:0015478	oligosaccharide transporting porin activity
GO:0015481	maltose transporting porin activity
GO:0015483	long-chain fatty acid transporting porin activity
GO:0015486	glycoside-pentoside-hexuronide:cation symporter activity
GO:0015487	melibiose:cation symporter activity
GO:0015489	putrescine transmembrane transporter activity
GO:0015491	cation:cation antiporter activity
GO:0015496	putrescine:ornithine antiporter activity
GO:0015499	formate transmembrane transporter activity
GO:0015501	glutamate:sodium symporter activity
GO:0015503	glutathione-regulated potassium exporter activity
GO:0015505	uracil:cation symporter activity
GO:0015506	nucleoside:proton symporter activity
GO:0015513	high-affinity secondary active nitrite transmembrane transporter activity
GO:0015514	nitrite efflux transmembrane transporter activity
GO:0015517	galactose:proton symporter activity
GO:0015518	arabinose:proton symporter activity
GO:0015519	D-xylose:proton symporter activity
GO:0015526	hexose-phosphate:inorganic phosphate antiporter activity
GO:0015527	glycerol-phosphate:inorganic phosphate antiporter activity
GO:0015528	lactose:proton symporter activity
GO:0015530	shikimate transmembrane transporter activity
GO:0015535	fucose:proton symporter activity
GO:0015538	sialic acid:proton symporter activity
GO:0015540	3-hydroxyphenyl propionate:proton symporter activity
GO:0015546	sulfathiazole transmembrane transporter activity
GO:0015553	xanthosine transmembrane transporter activity
GO:0015556	C4-dicarboxylate transmembrane transporter activity
GO:0015558	secondary active p-aminobenzoyl-glutamate transmembrane transporter activity
GO:0015562	efflux transmembrane transporter activity
GO:0015565	threonine efflux transmembrane transporter activity
GO:0015567	alkane transmembrane transporter activity
GO:0015568	L-idonate transmembrane transporter activity
GO:0015572	N-acetylglucosamine transmembrane transporter activity
GO:0015574	trehalose transmembrane transporter activity
GO:0015577	galactitol transmembrane transporter activity
GO:0015591	D-ribose transmembrane transporter activity
GO:0015592	methylgalactoside transmembrane transporter activity
GO:0015593	allose transmembrane transporter activity
GO:0015594	putrescine-importing ATPase activity
GO:0015595	spermidine-importing ATPase activity
GO:0015603	iron chelate transmembrane transporter activity
GO:0015606	spermidine transmembrane transporter activity
GO:0015609	maltooligosaccharide-importing ATPase activity
GO:0015612	L-arabinose-importing ATPase activity
GO:0015614	D-xylose-importing ATPase activity
GO:0015616	DNA translocase activity
GO:0015620	ferric-enterobactin transmembrane transporter activity
GO:0015627	type II protein secretion system complex
GO:0015628	protein secretion by the type II secretion system
GO:0015633	zinc-transporting ATPase activity
GO:0015640	peptidoglycan peptide transmembrane transporter activity
GO:0015643	toxic substance binding
GO:0015648	lipid-linked peptidoglycan transporter activity
GO:0015649	2-keto-3-deoxygluconate:proton symporter activity
GO:0015654	tellurite transmembrane transporter activity
GO:0015658	branched-chain amino acid transmembrane transporter activity
GO:0015661	L-lysine efflux transmembrane transporter activity
GO:0015666	restriction endodeoxyribonuclease activity
GO:0015670	carbon dioxide transport
GO:0015671	oxygen transport
GO:0015673	silver ion transport
GO:0015675	nickel cation transport
GO:0015679	plasma membrane copper ion transport
GO:0015685	ferric-enterobactin import into cell
GO:0015687	ferric-hydroxamate import into cell
GO:0015689	molybdate ion transport
GO:0015691	cadmium ion transport
GO:0015692	lead ion transport
GO:0015693	magnesium ion transport
GO:0015696	ammonium transport
GO:0015699	antimonite transport
GO:0015700	arsenite transport
GO:0015706	nitrate transport
GO:0015707	nitrite transport
GO:0015709	thiosulfate transport
GO:0015710	tellurite transport
GO:0015712	hexose phosphate transport
GO:0015716	organic phosphonate transport
GO:0015721	bile acid and bile salt transport
GO:0015724	formate transport
GO:0015726	L-idonate transmembrane transport
GO:0015727	lactate transport
GO:0015733	shikimate transmembrane transport
GO:0015734	taurine transport
GO:0015736	hexuronate transmembrane transport
GO:0015739	sialic acid transport
GO:0015740	C4-dicarboxylate transport
GO:0015741	fumarate transport
GO:0015747	urate transport
GO:0015748	organophosphate ester transport
GO:0015749	monosaccharide transmembrane transport
GO:0015751	arabinose transmembrane transport
GO:0015752	D-ribose transmembrane transport
GO:0015753	D-xylose transmembrane transport
GO:0015754	allose transmembrane transport
GO:0015755	fructose transmembrane transport
GO:0015756	fucose transmembrane transport
GO:0015757	galactose transmembrane transport
GO:0015760	glucose-6-phosphate transport
GO:0015761	mannose transmembrane transport
GO:0015762	rhamnose transmembrane transport
GO:0015764	N-acetylglucosamine transport
GO:0015765	methylgalactoside transport
GO:0015767	lactose transport
GO:0015768	maltose transport
GO:0015769	melibiose transport
GO:0015771	trehalose transport
GO:0015772	oligosaccharide transport
GO:0015774	polysaccharide transport
GO:0015777	teichoic acid transport
GO:0015778	hexuronide transport
GO:0015793	glycerol transport
GO:0015794	glycerol-3-phosphate transmembrane transport
GO:0015795	sorbitol transport
GO:0015796	galactitol transport
GO:0015797	mannitol transport
GO:0015801	aromatic amino acid transport
GO:0015803	branched-chain amino acid transport
GO:0015806	S-methylmethionine transport
GO:0015808	L-alanine transport
GO:0015809	arginine transport
GO:0015810	aspartate transmembrane transport
GO:0015811	L-cystine transport
GO:0015812	gamma-aminobutyric acid transport
GO:0015813	L-glutamate transmembrane transport
GO:0015814	p-aminobenzoyl-glutamate transport
GO:0015816	glycine transport
GO:0015818	isoleucine transport
GO:0015820	leucine transport
GO:0015821	methionine transport
GO:0015822	ornithine transport
GO:0015823	phenylalanine transport
GO:0015824	proline transport
GO:0015825	L-serine transport
GO:0015826	threonine transport
GO:0015827	tryptophan transport
GO:0015828	tyrosine transport
GO:0015829	valine transport
GO:0015830	diaminopimelate transport
GO:0015833	peptide transport
GO:0015834	peptidoglycan-associated peptide transport
GO:0015835	peptidoglycan transport
GO:0015836	lipid-linked peptidoglycan transport
GO:0015837	amine transport
GO:0015839	cadaverine transport
GO:0015846	polyamine transport
GO:0015847	putrescine transport
GO:0015848	spermidine transport
GO:0015853	adenine transport
GO:0015856	cytosine transport
GO:0015857	uracil transport
GO:0015858	nucleoside transport
GO:0015860	purine nucleoside transmembrane transport
GO:0015861	cytidine transport
GO:0015862	uridine transport
GO:0015863	xanthosine transport
GO:0015864	pyrimidine nucleoside transport
GO:0015871	choline transport
GO:0015878	biotin transport
GO:0015879	carnitine transport
GO:0015882	L-ascorbic acid transmembrane transport
GO:0015886	heme transport
GO:0015887	pantothenate transmembrane transport
GO:0015888	thiamine transport
GO:0015889	cobalamin transport
GO:0015891	siderophore transport
GO:0015893	drug transport
GO:0015895	alkane transport
GO:0015908	fatty acid transport
GO:0015909	long-chain fatty acid transport
GO:0015912	short-chain fatty acid transport
GO:0015914	phospholipid transport
GO:0015920	lipopolysaccharide transport
GO:0015926	glucosidase activity
GO:0015930	glutamate synthase activity
GO:0015934	large ribosomal subunit
GO:0015935	small ribosomal subunit
GO:0015936	coenzyme A metabolic process
GO:0015937	coenzyme A biosynthetic process
GO:0015940	pantothenate biosynthetic process
GO:0015941	pantothenate catabolic process
GO:0015942	formate metabolic process
GO:0015944	formate oxidation
GO:0015949	nucleobase-containing small molecule interconversion
GO:0015950	purine nucleotide interconversion
GO:0015951	purine ribonucleotide interconversion
GO:0015968	stringent response
GO:0015969	guanosine tetraphosphate metabolic process
GO:0015970	guanosine tetraphosphate biosynthetic process
GO:0015974	guanosine pentaphosphate catabolic process
GO:0015976	carbon utilization
GO:0015977	carbon fixation
GO:0015986	ATP synthesis coupled proton transport
GO:0015988	energy coupled proton transmembrane transport, against electrochemical gradient
GO:0015990	electron transport coupled proton transport
GO:0015991	ATP hydrolysis coupled proton transport
GO:0016002	sulfite reductase activity
GO:0016020	membrane
GO:0016021	integral component of membrane
GO:0016024	CDP-diacylglycerol biosynthetic process
GO:0016032	viral process
GO:0016034	maleylacetoacetate isomerase activity
GO:0016036	cellular response to phosphate starvation
GO:0016042	lipid catabolic process
GO:0016051	carbohydrate biosynthetic process
GO:0016052	carbohydrate catabolic process
GO:0016070	RNA metabolic process
GO:0016075	rRNA catabolic process
GO:0016078	tRNA catabolic process
GO:0016094	polyprenol biosynthetic process
GO:0016114	terpenoid biosynthetic process
GO:0016117	carotenoid biosynthetic process
GO:0016139	glycoside catabolic process
GO:0016151	nickel cation binding
GO:0016154	pyrimidine-nucleoside phosphorylase activity
GO:0016158	3-phytase activity
GO:0016208	AMP binding
GO:0016209	antioxidant activity
GO:0016212	kynurenine-oxoglutarate transaminase activity
GO:0016226	iron-sulfur cluster assembly
GO:0016259	selenocysteine metabolic process
GO:0016260	selenocysteine biosynthetic process
GO:0016279	protein-lysine N-methyltransferase activity
GO:0016289	CoA hydrolase activity
GO:0016290	palmitoyl-CoA hydrolase activity
GO:0016295	myristoyl-[acyl-carrier-protein] hydrolase activity
GO:0016296	palmitoyl-[acyl-carrier-protein] hydrolase activity
GO:0016297	acyl-[acyl-carrier-protein] hydrolase activity
GO:0016298	lipase activity
GO:0016301	kinase activity
GO:0016310	phosphorylation
GO:0016311	dephosphorylation
GO:0016405	CoA-ligase activity
GO:0016407	acetyltransferase activity
GO:0016410	N-acyltransferase activity
GO:0016412	serine O-acyltransferase activity
GO:0016415	octanoyltransferase activity
GO:0016416	O-palmitoyltransferase activity
GO:0016419	S-malonyltransferase activity
GO:0016430	tRNA (adenine-N6-)-methyltransferase activity
GO:0016433	rRNA (adenine) methyltransferase activity
GO:0016434	rRNA (cytosine) methyltransferase activity
GO:0016436	rRNA (uridine) methyltransferase activity
GO:0016437	tRNA cytidylyltransferase activity
GO:0016462	pyrophosphatase activity
GO:0016463	zinc-exporting ATPase activity
GO:0016485	protein processing
GO:0016491	oxidoreductase activity
GO:0016508	long-chain-enoyl-CoA hydratase activity
GO:0016509	long-chain-3-hydroxyacyl-CoA dehydrogenase activity
GO:0016530	metallochaperone activity
GO:0016531	copper chaperone activity
GO:0016540	protein autoprocessing
GO:0016579	protein deubiquitination
GO:0016594	glycine binding
GO:0016595	glutamate binding
GO:0016597	amino acid binding
GO:0016614	oxidoreductase activity, acting on CH-OH group of donors
GO:0016615	malate dehydrogenase activity
GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
GO:0016618	hydroxypyruvate reductase activity
GO:0016620	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor
GO:0016624	oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor
GO:0016627	oxidoreductase activity, acting on the CH-CH group of donors
GO:0016628	oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor
GO:0016631	enoyl-[acyl-carrier-protein] reductase activity
GO:0016638	oxidoreductase activity, acting on the CH-NH2 group of donors
GO:0016639	oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor
GO:0016645	oxidoreductase activity, acting on the CH-NH group of donors
GO:0016646	oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor
GO:0016647	oxidoreductase activity, acting on the CH-NH group of donors, oxygen as acceptor
GO:0016651	oxidoreductase activity, acting on NAD(P)H
GO:0016652	oxidoreductase activity, acting on NAD(P)H, NAD(P) as acceptor
GO:0016655	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor
GO:0016657	oxidoreductase activity, acting on NAD(P)H, nitrogenous group as acceptor
GO:0016661	oxidoreductase activity, acting on other nitrogenous compounds as donors
GO:0016667	oxidoreductase activity, acting on a sulfur group of donors
GO:0016668	oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor
GO:0016671	oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor
GO:0016672	oxidoreductase activity, acting on a sulfur group of donors, quinone or similar compound as acceptor
GO:0016675	oxidoreductase activity, acting on a heme group of donors
GO:0016677	oxidoreductase activity, acting on a heme group of donors, nitrogenous group as acceptor
GO:0016679	oxidoreductase activity, acting on diphenols and related substances as donors
GO:0016682	oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor
GO:0016684	oxidoreductase activity, acting on peroxide as acceptor
GO:0016701	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen
GO:0016702	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen
GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
GO:0016706	2-oxoglutarate-dependent dioxygenase activity
GO:0016709	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen
GO:0016722	oxidoreductase activity, oxidizing metal ions
GO:0016724	oxidoreductase activity, oxidizing metal ions, oxygen as acceptor
GO:0016726	oxidoreductase activity, acting on CH or CH2 groups, NAD or NADP as acceptor
GO:0016740	transferase activity
GO:0016742	hydroxymethyl-, formyl- and related transferase activity
GO:0016743	carboxyl- or carbamoyltransferase activity
GO:0016744	transferase activity, transferring aldehyde or ketonic groups
GO:0016746	transferase activity, transferring acyl groups
GO:0016747	transferase activity, transferring acyl groups other than amino-acyl groups
GO:0016755	transferase activity, transferring amino-acyl groups
GO:0016757	transferase activity, transferring glycosyl groups
GO:0016758	transferase activity, transferring hexosyl groups
GO:0016759	cellulose synthase activity
GO:0016760	cellulose synthase (UDP-forming) activity
GO:0016763	transferase activity, transferring pentosyl groups
GO:0016765	transferase activity, transferring alkyl or aryl (other than methyl) groups
GO:0016767	geranylgeranyl-diphosphate geranylgeranyltransferase activity
GO:0016768	spermine synthase activity
GO:0016769	transferase activity, transferring nitrogenous groups
GO:0016772	transferase activity, transferring phosphorus-containing groups
GO:0016773	phosphotransferase activity, alcohol group as acceptor
GO:0016774	phosphotransferase activity, carboxyl group as acceptor
GO:0016776	phosphotransferase activity, phosphate group as acceptor
GO:0016778	diphosphotransferase activity
GO:0016779	nucleotidyltransferase activity
GO:0016780	phosphotransferase activity, for other substituted phosphate groups
GO:0016782	transferase activity, transferring sulfur-containing groups
GO:0016783	sulfurtransferase activity
GO:0016784	3-mercaptopyruvate sulfurtransferase activity
GO:0016785	transferase activity, transferring selenium-containing groups
GO:0016787	hydrolase activity
GO:0016788	hydrolase activity, acting on ester bonds
GO:0016790	thiolester hydrolase activity
GO:0016791	phosphatase activity
GO:0016793	triphosphoric monoester hydrolase activity
GO:0016795	phosphoric triester hydrolase activity
GO:0016798	hydrolase activity, acting on glycosyl bonds
GO:0016799	hydrolase activity, hydrolyzing N-glycosyl compounds
GO:0016803	ether hydrolase activity
GO:0016805	dipeptidase activity
GO:0016807	cysteine-type carboxypeptidase activity
GO:0016810	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds
GO:0016811	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides
GO:0016812	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides
GO:0016813	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines
GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides
GO:0016823	hydrolase activity, acting on acid carbon-carbon bonds, in ketonic substances
GO:0016829	lyase activity
GO:0016830	carbon-carbon lyase activity
GO:0016831	carboxy-lyase activity
GO:0016832	aldehyde-lyase activity
GO:0016833	oxo-acid-lyase activity
GO:0016835	carbon-oxygen lyase activity
GO:0016836	hydro-lyase activity
GO:0016837	carbon-oxygen lyase activity, acting on polysaccharides
GO:0016838	carbon-oxygen lyase activity, acting on phosphates
GO:0016846	carbon-sulfur lyase activity
GO:0016853	isomerase activity
GO:0016854	racemase and epimerase activity
GO:0016855	racemase and epimerase activity, acting on amino acids and derivatives
GO:0016857	racemase and epimerase activity, acting on carbohydrates and derivatives
GO:0016861	intramolecular oxidoreductase activity, interconverting aldoses and ketoses
GO:0016866	intramolecular transferase activity
GO:0016868	intramolecular transferase activity, phosphotransferases
GO:0016869	intramolecular transferase activity, transferring amino groups
GO:0016872	intramolecular lyase activity
GO:0016874	ligase activity
GO:0016878	acid-thiol ligase activity
GO:0016879	ligase activity, forming carbon-nitrogen bonds
GO:0016880	acid-ammonia (or amide) ligase activity
GO:0016881	acid-amino acid ligase activity
GO:0016887	ATPase activity
GO:0016888	endodeoxyribonuclease activity, producing 5'-phosphomonoesters
GO:0016891	endoribonuclease activity, producing 5'-phosphomonoesters
GO:0016892	endoribonuclease activity, producing 3'-phosphomonoesters
GO:0016896	exoribonuclease activity, producing 5'-phosphomonoesters
GO:0016901	oxidoreductase activity, acting on the CH-OH group of donors, quinone or similar compound as acceptor
GO:0016903	oxidoreductase activity, acting on the aldehyde or oxo group of donors
GO:0016966	nitric oxide reductase activity
GO:0016979	lipoate-protein ligase activity
GO:0016987	sigma factor activity
GO:0016989	sigma factor antagonist activity
GO:0016992	lipoate synthase activity
GO:0016995	cholesterol oxidase activity
GO:0016998	cell wall macromolecule catabolic process
GO:0017000	antibiotic biosynthetic process
GO:0017001	antibiotic catabolic process
GO:0017003	protein-heme linkage
GO:0017004	cytochrome complex assembly
GO:0017038	protein import
GO:0017053	transcriptional repressor complex
GO:0017057	6-phosphogluconolactonase activity
GO:0017061	S-methyl-5-thioadenosine phosphorylase activity
GO:0017076	purine nucleotide binding
GO:0017089	glycolipid transporter activity
GO:0017103	UTP:galactose-1-phosphate uridylyltransferase activity
GO:0017110	nucleoside-diphosphatase activity
GO:0017111	nucleoside-triphosphatase activity
GO:0017113	dihydropyrimidine dehydrogenase (NADP+) activity
GO:0017116	single-stranded DNA-dependent ATP-dependent DNA helicase activity
GO:0017117	single-stranded DNA-dependent ATP-dependent DNA helicase complex
GO:0017118	lipoyltransferase activity
GO:0017144	drug metabolic process
GO:0017148	negative regulation of translation
GO:0017150	tRNA dihydrouridine synthase activity
GO:0017151	DEAD/H-box RNA helicase binding
GO:0017168	5-oxoprolinase (ATP-hydrolyzing) activity
GO:0017189	N-terminal peptidyl-alanine acetylation
GO:0017198	N-terminal peptidyl-serine acetylation
GO:0018012	N-terminal peptidyl-alanine trimethylation
GO:0018023	peptidyl-lysine trimethylation
GO:0018063	cytochrome c-heme linkage
GO:0018070	peptidyl-serine phosphopantetheinylation
GO:0018104	peptidoglycan-protein cross-linking
GO:0018105	peptidyl-serine phosphorylation
GO:0018106	peptidyl-histidine phosphorylation
GO:0018108	peptidyl-tyrosine phosphorylation
GO:0018119	peptidyl-cysteine S-nitrosylation
GO:0018125	peptidyl-cysteine methylation
GO:0018131	oxazole or thiazole biosynthetic process
GO:0018160	peptidyl-pyrromethane cofactor linkage
GO:0018169	ribosomal S6-glutamic acid ligase activity
GO:0018206	peptidyl-methionine modification
GO:0018247	protein-phosphoribosyl dephospho-coenzyme A linkage
GO:0018277	protein deamination
GO:0018298	protein-chromophore linkage
GO:0018315	molybdenum incorporation into molybdenum-molybdopterin complex
GO:0018339	peptidyl-L-beta-methylthioaspartic acid biosynthetic process from peptidyl-aspartic acid
GO:0018345	protein palmitoylation
GO:0018364	peptidyl-glutamine methylation
GO:0018393	internal peptidyl-lysine acetylation
GO:0018394	peptidyl-lysine acetylation
GO:0018410	C-terminal protein amino acid modification
GO:0018455	alcohol dehydrogenase [NAD(P)+] activity
GO:0018478	malonate-semialdehyde dehydrogenase (acetylating) activity
GO:0018498	2,3-dihydroxy-2,3-dihydro-phenylpropionate dehydrogenase activity
GO:0018545	NAD(P)H nitroreductase activity
GO:0018580	nitronate monooxygenase activity
GO:0018583	biphenyl-2,3-diol 1,2-dioxygenase activity
GO:0018738	S-formylglutathione hydrolase activity
GO:0018741	alkyl sulfatase activity
GO:0018756	ammeline aminohydrolase activity
GO:0018771	2-hydroxy-6-oxonona-2,4-dienedioate hydrolase activity
GO:0018909	dodecyl sulfate metabolic process
GO:0018937	nitroglycerin metabolic process
GO:0019003	GDP binding
GO:0019008	molybdopterin synthase complex
GO:0019068	virion assembly
GO:0019104	DNA N-glycosylase activity
GO:0019107	myristoyltransferase activity
GO:0019134	glucosamine-1-phosphate N-acetyltransferase activity
GO:0019142	2-hydroxyglutarate synthase activity
GO:0019143	3-deoxy-manno-octulosonate-8-phosphatase activity
GO:0019144	ADP-sugar diphosphatase activity
GO:0019145	aminobutyraldehyde dehydrogenase activity
GO:0019146	arabinose-5-phosphate isomerase activity
GO:0019147	(R)-aminopropanol dehydrogenase activity
GO:0019148	D-cysteine desulfhydrase activity
GO:0019149	3-chloro-D-alanine dehydrochlorinase activity
GO:0019150	D-ribulokinase activity
GO:0019154	glycolate dehydrogenase activity
GO:0019158	mannokinase activity
GO:0019159	nicotinamide-nucleotide amidase activity
GO:0019165	thiamine kinase activity
GO:0019168	2-octaprenylphenol hydroxylase activity
GO:0019170	methylglyoxal reductase (NADH-dependent) activity
GO:0019171	3-hydroxyacyl-[acyl-carrier-protein] dehydratase activity
GO:0019172	glyoxalase III activity
GO:0019177	dihydroneopterin triphosphate pyrophosphohydrolase activity
GO:0019180	dTDP-4-amino-4,6-dideoxygalactose transaminase activity
GO:0019197	phosphoenolpyruvate-dependent sugar phosphotransferase complex
GO:0019200	carbohydrate kinase activity
GO:0019205	nucleobase-containing compound kinase activity
GO:0019213	deacetylase activity
GO:0019239	deaminase activity
GO:0019240	citrulline biosynthetic process
GO:0019242	methylglyoxal biosynthetic process
GO:0019243	methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione
GO:0019249	lactate biosynthetic process
GO:0019262	N-acetylneuraminate catabolic process
GO:0019264	glycine biosynthetic process from serine
GO:0019272	L-alanine biosynthetic process from pyruvate
GO:0019277	UDP-N-acetylgalactosamine biosynthetic process
GO:0019281	L-methionine biosynthetic process from homoserine via O-succinyl-L-homoserine and cystathionine
GO:0019284	L-methionine salvage from S-adenosylmethionine
GO:0019285	glycine betaine biosynthetic process from choline
GO:0019288	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway
GO:0019290	siderophore biosynthetic process
GO:0019292	tyrosine biosynthetic process from chorismate via 4-hydroxyphenylpyruvate
GO:0019294	keto-3-deoxy-D-manno-octulosonic acid biosynthetic process
GO:0019299	rhamnose metabolic process
GO:0019301	rhamnose catabolic process
GO:0019303	D-ribose catabolic process
GO:0019305	dTDP-rhamnose biosynthetic process
GO:0019309	mannose catabolic process
GO:0019316	D-allose catabolic process
GO:0019317	fucose catabolic process
GO:0019318	hexose metabolic process
GO:0019321	pentose metabolic process
GO:0019323	pentose catabolic process
GO:0019324	L-lyxose metabolic process
GO:0019343	cysteine biosynthetic process via cystathionine
GO:0019344	cysteine biosynthetic process
GO:0019346	transsulfuration
GO:0019348	dolichol metabolic process
GO:0019350	teichoic acid biosynthetic process
GO:0019353	protoporphyrinogen IX biosynthetic process from glutamate
GO:0019354	siroheme biosynthetic process
GO:0019357	nicotinate nucleotide biosynthetic process
GO:0019363	pyridine nucleotide biosynthetic process
GO:0019365	pyridine nucleotide salvage
GO:0019379	sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin)
GO:0019380	3-phenylpropionate catabolic process
GO:0019388	galactose catabolic process
GO:0019391	glucuronoside catabolic process
GO:0019394	glucarate catabolic process
GO:0019395	fatty acid oxidation
GO:0019402	galactitol metabolic process
GO:0019404	galactitol catabolic process
GO:0019413	acetate biosynthetic process
GO:0019419	sulfate reduction
GO:0019427	acetyl-CoA biosynthetic process from acetate
GO:0019430	removal of superoxide radicals
GO:0019432	triglyceride biosynthetic process
GO:0019439	aromatic compound catabolic process
GO:0019447	D-cysteine catabolic process
GO:0019450	L-cysteine catabolic process to pyruvate
GO:0019464	glycine decarboxylation via glycine cleavage system
GO:0019477	L-lysine catabolic process
GO:0019478	D-amino acid catabolic process
GO:0019480	L-alanine oxidation to pyruvate via D-alanine
GO:0019509	L-methionine salvage from methylthioadenosine
GO:0019516	lactate oxidation
GO:0019518	L-threonine catabolic process to glycine
GO:0019521	D-gluconate metabolic process
GO:0019534	toxin transmembrane transporter activity
GO:0019538	protein metabolic process
GO:0019542	propionate biosynthetic process
GO:0019544	arginine catabolic process to glutamate
GO:0019545	arginine catabolic process to succinate
GO:0019563	glycerol catabolic process
GO:0019568	arabinose catabolic process
GO:0019569	L-arabinose catabolic process to xylulose 5-phosphate
GO:0019571	D-arabinose catabolic process
GO:0019572	L-arabinose catabolic process
GO:0019588	anaerobic glycerol catabolic process
GO:0019592	mannitol catabolic process
GO:0019594	mannitol metabolic process
